county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
La Salle,1,Registered Voters,,,,1158,,,
La Salle,1,Ballots Cast,,,,691,,,
La Salle,1,President,,REP,Donald J. Trump JD Vance,435,30,282,123
La Salle,1,President,,DEM,Kamala D. Harris Tim Walz,229,26,134,69
La Salle,1,President,,LIB,Chase Oliver Mike ter Maat,3,0,3,0
La Salle,1,President,,GRN,Jill Stein Rudolph Ware,1,0,1,0
La Salle,1,President,,,Cherunda Fox/Harlan McVay (W),0,0,0,0
La Salle,1,President,,,Claudia De La Cruz/Karina Garcia (W),0,0,0,0
La Salle,1,President,,,Cornel West/Melina Abdullah (W),0,0,0,0
La Salle,1,President,,,Jessie Cuellar/Wesley Lasley (W),0,0,0,0
La Salle,1,President,,,Peter Sonski/Lauren Onak (W),0,0,0,0
La Salle,1,President,,,Shiva Ayyadurai/Crystal Ellis (W),0,0,0,0
La Salle,1,President,,,Under Votes,21,3,13,5
La Salle,1,President,,,Over Votes,2,2,0,0
La Salle,1,U.S. Senate,,REP,Ted Cruz,357,17,250,90
La Salle,1,U.S. Senate,,DEM,Colin Allred,233,18,134,81
La Salle,1,U.S. Senate,,LIB,Ted Brown,26,2,16,8
La Salle,1,U.S. Senate,,,Analisa Roche (W),1,0,1,0
La Salle,1,U.S. Senate,,,Tracy Andrus (W),0,0,0,0
La Salle,1,U.S. Senate,,,Under Votes,73,23,32,18
La Salle,1,U.S. Senate,,,Over Votes,1,1,0,0
La Salle,1,U.S. House,23,REP,Tony Gonzales,396,18,275,103
La Salle,1,U.S. House,23,DEM,S. Limon,175,20,100,55
La Salle,1,U.S. House,23,,Under Votes,118,23,58,37
La Salle,1,U.S. House,23,,Over Votes,2,0,0,2
La Salle,1,Railroad Commissioner,,REP,Christi Craddick,291,14,200,77
La Salle,1,Railroad Commissioner,,DEM,Katherine Culbert,193,20,112,61
La Salle,1,Railroad Commissioner,,LIB,Hawk Dunlap,24,1,16,7
La Salle,1,Railroad Commissioner,,GRN,Eddie Espinoza,19,0,14,5
La Salle,1,Railroad Commissioner,,,Richard McKibbin (W),0,0,0,0
La Salle,1,Railroad Commissioner,,,Under Votes,159,26,89,44
La Salle,1,Railroad Commissioner,,,Over Votes,5,0,2,3
La Salle,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,312,13,216,83
La Salle,1,"Justice, Supreme Court, Place 2",,DEM,DaSean Jones,216,22,126,68
La Salle,1,"Justice, Supreme Court, Place 2",,,Under Votes,161,26,91,44
La Salle,1,"Justice, Supreme Court, Place 2",,,Over Votes,2,0,0,2
La Salle,1,"Justice, Supreme Court, Place 4",,REP,John Devine,314,15,215,84
La Salle,1,"Justice, Supreme Court, Place 4",,DEM,Christine Vinh Weems,204,20,122,62
La Salle,1,"Justice, Supreme Court, Place 4",,,Under Votes,171,26,96,49
La Salle,1,"Justice, Supreme Court, Place 4",,,Over Votes,2,0,0,2
La Salle,1,"Justice, Supreme Court, Place 6",,REP,Jane Bland,298,13,210,75
La Salle,1,"Justice, Supreme Court, Place 6",,DEM,Bonnie Lee Goldstein,202,20,119,63
La Salle,1,"Justice, Supreme Court, Place 6",,LIB,J. David Roberson,19,1,9,9
La Salle,1,"Justice, Supreme Court, Place 6",,,Under Votes,171,26,95,50
La Salle,1,"Justice, Supreme Court, Place 6",,,Over Votes,1,1,0,0
La Salle,1,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,313,14,217,82
La Salle,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,206,21,117,68
La Salle,1,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,172,26,99,47
La Salle,1,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
La Salle,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Gina Parker,310,14,216,80
La Salle,1,"Judge, Court of Criminal Appeals, Place 7",,DEM,Nancy Mulder,204,21,116,67
La Salle,1,"Judge, Court of Criminal Appeals, Place 7",,,Under Votes,177,26,101,50
La Salle,1,"Judge, Court of Criminal Appeals, Place 7",,,Over Votes,0,0,0,0
La Salle,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Lee Finley,323,14,221,88
La Salle,1,"Judge, Court of Criminal Appeals, Place 8",,DEM,Chika Anyiam,189,21,109,59
La Salle,1,"Judge, Court of Criminal Appeals, Place 8",,,Under Votes,179,26,103,50
La Salle,1,"Judge, Court of Criminal Appeals, Place 8",,,Over Votes,0,0,0,0
La Salle,1,"Member, State Board of Education",1,REP,Michael (Travis) Stevens,302,15,207,80
La Salle,1,"Member, State Board of Education",1,DEM,Gustavo Reveles,211,20,124,67
La Salle,1,"Member, State Board of Education",1,,Under Votes,178,26,102,50
La Salle,1,"Member, State Board of Education",1,,Over Votes,0,0,0,0
La Salle,1,State House,31,REP,Ryan Guillen,419,21,276,122
La Salle,1,State House,31,,Under Votes,272,40,157,75
La Salle,1,State House,31,,Over Votes,0,0,0,0
La Salle,1,"Justice, 4th Court of Appeals District, Place 2",,DEM,Velia J. Meza,321,21,192,108
La Salle,1,"Justice, 4th Court of Appeals District, Place 2",,,Under Votes,370,40,241,89
La Salle,1,"Justice, 4th Court of Appeals District, Place 2",,,Over Votes,0,0,0,0
La Salle,1,"Justice, 4th Court of Appeals District, Place 3",,REP,Todd McCray,310,16,218,76
La Salle,1,"Justice, 4th Court of Appeals District, Place 3",,DEM,Cynthia Marie Chapa,201,19,115,67
La Salle,1,"Justice, 4th Court of Appeals District, Place 3",,,Under Votes,180,26,100,54
La Salle,1,"Justice, 4th Court of Appeals District, Place 3",,,Over Votes,0,0,0,0
La Salle,1,"Justice, 4th Court of Appeals District, Place 4",,REP,Lori Massey Brissette,295,14,209,72
La Salle,1,"Justice, 4th Court of Appeals District, Place 4",,DEM,Luz Elena Chapa,206,19,117,70
La Salle,1,"Justice, 4th Court of Appeals District, Place 4",,,Under Votes,190,28,107,55
La Salle,1,"Justice, 4th Court of Appeals District, Place 4",,,Over Votes,0,0,0,0
La Salle,1,"Justice, 4th Court of Appeals District, Place 5",,REP,Adrian Spears,302,15,216,71
La Salle,1,"Justice, 4th Court of Appeals District, Place 5",,DEM,Liza A. Rodriguez,210,18,116,76
La Salle,1,"Justice, 4th Court of Appeals District, Place 5",,,Under Votes,179,28,101,50
