county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Lampasas,1,Registered Voters,,,,4443,,,
Lampasas,1,Ballots Cast,,,,2848,100,1944,804
Lampasas,1,Ballots Cast Blank,,,,0,0,0,0
Lampasas,1,President,,REP,Donald J. Trump,2017,56,1390,571
Lampasas,1,President,,DEM,Kamala D. Harris,802,44,536,222
Lampasas,1,President,,LIB,Chase Oliver,10,0,6,4
Lampasas,1,President,,GRN,Jill Stein,13,0,8,5
Lampasas,1,President,,,Write-ins,4,0,3,1
Lampasas,1,U.S. Senate,,REP,Ted Cruz,1935,56,1348,531
Lampasas,1,U.S. Senate,,DEM,Colin Allred,810,42,544,224
Lampasas,1,U.S. Senate,,LIB,Ted Brown,68,1,35,32
Lampasas,1,U.S. Senate,,,Write-ins,1,0,0,1
Lampasas,1,U.S. House,11,REP,August Pfluger,2168,74,1483,611
Lampasas,1,Railroad Commissioner,,REP,Christi Craddick,1908,62,1338,508
Lampasas,1,Railroad Commissioner,,DEM,Katherine Culbert,680,33,466,181
Lampasas,1,Railroad Commissioner,,LIB,Hawk Dunlap,81,0,43,38
Lampasas,1,Railroad Commissioner,,GRN,Eddie Espinoza,42,1,25,16
Lampasas,1,Railroad Commissioner,,,Write-ins,3,0,2,1
Lampasas,1,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,1995,59,1380,556
Lampasas,1,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,732,37,498,197
Lampasas,1,"Justice, Supreme Court, Pl 4",,REP,John Devine,1970,60,1365,545
Lampasas,1,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,748,36,503,209
Lampasas,1,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,1936,59,1356,521
Lampasas,1,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,706,35,477,194
Lampasas,1,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,87,2,50,35
Lampasas,1,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,1972,58,1382,532
Lampasas,1,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,750,37,500,213
Lampasas,1,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,1991,61,1389,541
Lampasas,1,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,725,34,488,203
Lampasas,1,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,1999,61,1386,552
Lampasas,1,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,714,34,488,192
Lampasas,1,"Member, State BoE",10,REP,Tom Maynard,1960,59,1365,536
Lampasas,1,"Member, State BoE",10,DEM,Raquel Saenz Ortiz,750,35,506,209
Lampasas,1,State House,68,REP,David Spiller,1972,63,1367,542
Lampasas,1,State House,68,DEM,Stacey Swann,737,34,500,203
Lampasas,1,"Justice, 3rd Ct of App Dist, Pl 2",,REP,John Messinger,1972,60,1374,538
Lampasas,1,"Justice, 3rd Ct of App Dist, Pl 2",,DEM,Maggie Ellis,729,35,495,199
Lampasas,1,"Justice, 3rd Ct of App Dist, Pl 3",,DEM,Chari Kelly,1252,45,836,371
Lampasas,1,"Justice, 3rd Ct of App Dist, Pl 5",,DEM,Karin Crump,1234,46,824,364
Lampasas,1,"Justice, 3rd Ct of App Dist, Pl 6",,DEM,Gisela D. Triana,1229,45,822,362
Lampasas,1,"Dist Judge, 27th Judicial Dist",,REP,Debbie Garrett,2209,73,1520,616
Lampasas,1,County Attorney,,REP,Jessica H. Guy,2213,73,1522,618
Lampasas,1,Sheriff,,REP,David Parker,2213,71,1528,614
Lampasas,1,County Tax Assessor-Collector,,REP,Betty Jo Salinas,2214,72,1522,620
Lampasas,1,County Commissioner,Pct 1,REP,Bobby Carroll,2193,72,1511,610
Lampasas,1,Constable,Pct 4,REP,"Charles ""Chuck"" Clayton",2181,71,1504,606
Lampasas,1,"Council Member, Mayor City of Copperas Cove",,,Dan Yancy,302,9,226,67
Lampasas,1,"Council Member, Position 1 City of Copperas Cove",,,Christina Strohfus,187,2,140,45
Lampasas,1,"Council Member, Position 1 City of Copperas Cove",,,Howard Hawk,112,5,83,24
Lampasas,1,"Council Member, Position 2 City of Copperas Cove",,,Victor Perry Hall II,78,2,60,16
Lampasas,1,"Council Member, Position 2 City of Copperas Cove",,,Rita Hogan,144,3,109,32
Lampasas,1,"Council Member, Position 2 City of Copperas Cove",,,George Duncan,80,2,54,24
Lampasas,1,PROPOSITION City of Copperas Cove,,,For,272,10,194,68
Lampasas,1,PROPOSITION City of Copperas Cove,,,Against,190,9,144,37
Lampasas,2,Registered Voters,,,,3367,,,
Lampasas,2,Ballots Cast,,,,2393,103,2040,250
Lampasas,2,Ballots Cast Blank,,,,0,0,0,0
Lampasas,2,President,,REP,Donald J. Trump,1933,65,1666,202
Lampasas,2,President,,DEM,Kamala D. Harris,424,33,346,45
Lampasas,2,President,,LIB,Chase Oliver,12,0,12,0
Lampasas,2,President,,GRN,Jill Stein,7,1,5,1
Lampasas,2,President,,,Write-ins,9,3,5,1
Lampasas,2,U.S. Senate,,REP,Ted Cruz,1844,64,1597,183
Lampasas,2,U.S. Senate,,DEM,Colin Allred,454,35,364,55
Lampasas,2,U.S. Senate,,LIB,Ted Brown,52,2,44,6
Lampasas,2,U.S. Senate,,,Write-ins,4,2,2,0
Lampasas,2,U.S. House,11,REP,August Pfluger,1905,67,1634,204
Lampasas,2,Railroad Commissioner,,REP,Christi Craddick,1790,62,1542,186
Lampasas,2,Railroad Commissioner,,DEM,Katherine Culbert,365,32,299,34
Lampasas,2,Railroad Commissioner,,LIB,Hawk Dunlap,59,1,51,7
Lampasas,2,Railroad Commissioner,,GRN,Eddie Espinoza,18,1,12,5
Lampasas,2,Railroad Commissioner,,,Write-ins,2,0,2,0
Lampasas,2,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,1873,64,1610,199
Lampasas,2,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,383,31,318,34
Lampasas,2,"Justice, Supreme Court, Pl 4",,REP,John Devine,1829,64,1574,191
Lampasas,2,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,415,30,344,41
Lampasas,2,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,1803,62,1555,186
Lampasas,2,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,397,29,331,37
Lampasas,2,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,51,2,38,11
Lampasas,2,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,1837,63,1580,194
Lampasas,2,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,404,30,333,41
Lampasas,2,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,1852,61,1596,195
Lampasas,2,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,395,30,327,38
Lampasas,2,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,1849,62,1593,194
Lampasas,2,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,377,30,310,37
Lampasas,2,"Member, State BoE",10,REP,Tom Maynard,1842,64,1587,191
Lampasas,2,"Member, State BoE",10,DEM,Raquel Saenz Ortiz,399,31,326,42
Lampasas,2,State House,68,REP,David Spiller,1862,65,1605,192
Lampasas,2,State House,68,DEM,Stacey Swann,386,31,314,41
Lampasas,2,"Justice, 3rd Ct of App Dist, Pl 2",,REP,John Messinger,1831,62,1574,195
Lampasas,2,"Justice, 3rd Ct of App Dist, Pl 2",,DEM,Maggie Ellis,393,31,324,38
Lampasas,2,"Justice, 3rd Ct of App Dist, Pl 3",,DEM,Chari Kelly,825,39,682,104
Lampasas,2,"Justice, 3rd Ct of App Dist, Pl 5",,DEM,Karin Crump,809,38,669,102
Lampasas,2,"Justice, 3rd Ct of App Dist, Pl 6",,DEM,Gisela D. Triana,810,38,670,102
Lampasas,2,"Dist Judge, 27th Judicial Dist",,REP,Debbie Garrett,1946,67,1660,219
Lampasas,2,County Attorney,,REP,Jessica H. Guy,1961,66,1678,217
Lampasas,2,Sheriff,,REP,David Parker,1976,66,1695,215
Lampasas,2,County Tax Assessor-Collector,,REP,Betty Jo Salinas,1960,67,1676,217
