county,precinct,office,district,party,candidate,votes
Andrews,Precinct 1,"President",,REP,"Donald J. Trump",1237
Andrews,Precinct 1,"President",,DEM,"Kamala D. Harris",188
Andrews,Precinct 1,"President",,LIB,"Chase Oliver",8
Andrews,Precinct 1,"President",,GRN,"Jill Stein",4
Andrews,Precinct 1,"President",,,"Write-ins",0
Andrews,Precinct 1,"U.S. Senate",,REP,"Ted Cruz",1193
Andrews,Precinct 1,"U.S. Senate",,DEM,"Colin Allred",197
Andrews,Precinct 1,"U.S. Senate",,LIB,"Ted Brown",30
Andrews,Precinct 1,"U.S. Senate",,,"Write-ins",0
Andrews,Precinct 1,"U.S. House",19,REP,"Jodey C. Arrington",1189
Andrews,Precinct 1,"U.S. House",19,LIB,"Bernard Johnson",82
Andrews,Precinct 1,"U.S. House",19,IND,"Nathan Lewis",63
Andrews,Precinct 1,"Railroad Commissioner",,REP,"Christi Craddick",1101
Andrews,Precinct 1,"Railroad Commissioner",,DEM,"Katherine Culbert",139
Andrews,Precinct 1,"Railroad Commissioner",,LIB,"Hawk Dunlap",90
Andrews,Precinct 1,"Railroad Commissioner",,GRN,"Eddie Espinoza",36
Andrews,Precinct 1,"Railroad Commissioner",,,"Write-ins",2
Andrews,Precinct 1,"Justice, Supreme Court",2,REP,"Jimmy Blacklock",1191
Andrews,Precinct 1,"Justice, Supreme Court",2,DEM,"DaSean Jones",172
Andrews,Precinct 1,"Justice, Supreme Court",4,REP,"John Devine",1181
Andrews,Precinct 1,"Justice, Supreme Court",4,DEM,"Christine Vinh Weems",172
Andrews,Precinct 1,"Justice, Supreme Court",6,REP,"Jane Bland",1143
Andrews,Precinct 1,"Justice, Supreme Court",6,DEM,"Bonnie Lee Goldstein",171
Andrews,Precinct 1,"Justice, Supreme Court",6,LIB,"J. David Roberson",34
Andrews,Precinct 1,"Presiding Judge, Ct of Crim App",,REP,"David J. Schenck",1179
Andrews,Precinct 1,"Presiding Judge, Ct of Crim App",,DEM,"Holly Taylor",172
Andrews,Precinct 1,"Judge, Ct of Crim App",7,REP,"Gina Parker",1169
Andrews,Precinct 1,"Judge, Ct of Crim App",7,DEM,"Nancy Mulder",173
Andrews,Precinct 1,"Judge, Ct of Crim App",8,REP,"Lee Finley",1191
Andrews,Precinct 1,"Judge, Ct of Crim App",8,DEM,"Chika Anyiam",153
Andrews,Precinct 1,"Member, State BoE",15,REP,"Aaron Kinsey",1137
Andrews,Precinct 1,"Member, State BoE",15,DEM,"Morgan Kirkpatrick",172
Andrews,Precinct 1,"Member, State BoE",15,LIB,"Jack B. Westbrook",36
Andrews,Precinct 1,"State Representative",88,REP,"Ken King",1224
Andrews,Precinct 1,"Chief Justice, 8th Ct of App Dist - Unexpired Term",,DEM,"Maria Salas Mendoza",548
Andrews,Precinct 1,"Justice, 8th Ct of App Dist",2,DEM,"Lisa Soto",532
Andrews,Precinct 1,"Justice, 8th Ct of App Dist",3,DEM,"Gina M. Palafox",517
Andrews,Precinct 1,"County Judge - Unexpired Term",,REP,"Sam H. Jones",1185
Andrews,Precinct 1,"County Judge - Unexpired Term",,IND,"Jeneane Anderegg",189
Andrews,Precinct 1,"County Attorney",,DEM,"Sean B. Galloway",656
Andrews,Precinct 1,"Sheriff",,REP,"Rusty Stewart",1237
Andrews,Precinct 1,"County Tax Assessor-Collector",,REP,"Robin Lynne Harper",1223
Andrews,Precinct 1,"County Commissioner Pct 1",,REP,"Kerry Pack",1209
Andrews,Precinct 1,"County Constable, Precinct No. 1 & 4",,REP,"Ronny R. Alaniz",1215
Andrews,Precinct 2,"President",,REP,"Donald J. Trump",1690
Andrews,Precinct 2,"President",,DEM,"Kamala D. Harris",219
