county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Aransas,1,"Registered Voters",,,,2652,,,
Aransas,1,"Ballots Cast",,,,1839,0,0,0
Aransas,1,"President",,REP,"Donald J. Trump",1503,46,1220,237
Aransas,1,"President",,DEM,"Kamala D. Harris",310,29,235,46
Aransas,1,"President",,LIB,"Chase Oliver",6,0,4,2
Aransas,1,"President",,GRN,"Jill Stein",4,0,3,1
Aransas,1,"President",,,"Cherunda Fox/Harlan McVay (W)",0,0,0,0
Aransas,1,"President",,,"Claudia De la Cruz/Karina Garcia (W)",0,0,0,0
Aransas,1,"President",,,"Cornel West/Melina Abdullah (W)",0,0,0,0
Aransas,1,"President",,,"Jessie Cuellar/Wesley Lasley (W)",0,0,0,0
Aransas,1,"President",,,"Peter Sonski/Lauren Onak (W)",1,0,0,1
Aransas,1,"President",,,"Shiva Ayyadurai/Crystal Ellis (W)",0,0,0,0
Aransas,1,"President",,,Under Votes,14,2,9,3
Aransas,1,"President",,,Over Votes,1,0,1,0
Aransas,1,"U.S. Senate",,REP,"Ted Cruz",1427,45,1167,215
Aransas,1,"U.S. Senate",,DEM,"Colin Allred",355,31,261,63
Aransas,1,"U.S. Senate",,LIB,"Ted Brown",40,0,32,8
Aransas,1,"U.S. Senate",,,"Analisa Roche (W)",0,0,0,0
Aransas,1,"U.S. Senate",,,"Tracy Andrus (W)",0,0,0,0
Aransas,1,"U.S. Senate",,,Under Votes,17,1,12,4
Aransas,1,"U.S. Senate",,,Over Votes,0,0,0,0
Aransas,1,"U.S. House",27,REP,"Michael Cloud",1503,51,1222,230
Aransas,1,"U.S. House",27,DEM,"Tanya Lloyd",290,24,218,48
Aransas,1,"U.S. House",27,,Under Votes,46,2,32,12
Aransas,1,"U.S. House",27,,Over Votes,0,0,0,0
Aransas,1,"Railroad Commissioner",,REP,"Christi Craddick",1454,44,1192,218
Aransas,1,"Railroad Commissioner",,DEM,"Katherine Culbert",267,24,201,42
Aransas,1,"Railroad Commissioner",,LIB,"Hawk Dunlap",42,3,30,9
Aransas,1,"Railroad Commissioner",,GRN,"Eddie Espinoza",24,1,16,7
Aransas,1,"Railroad Commissioner",,,"Richard McKibbin (W)",0,0,0,0
Aransas,1,"Railroad Commissioner",,,Under Votes,51,4,33,14
Aransas,1,"Railroad Commissioner",,,Over Votes,1,1,0,0
Aransas,1,"Justice, Supreme Court","Place 2",REP,"Jimmy Blacklock",1488,42,1219,227
Aransas,1,"Justice, Supreme Court","Place 2",DEM,"DaSean Jones",291,29,213,49
Aransas,1,"Justice, Supreme Court","Place 2",,Under Votes,60,6,40,14
Aransas,1,"Justice, Supreme Court","Place 2",,Over Votes,0,0,0,0
Aransas,1,"Justice, Supreme Court","Place 4",REP,"John Devine",1482,44,1214,224
Aransas,1,"Justice, Supreme Court","Place 4",DEM,"Christine Vinh Weems",293,27,217,49
Aransas,1,"Justice, Supreme Court","Place 4",,Under Votes,64,6,41,17
Aransas,1,"Justice, Supreme Court","Place 4",,Over Votes,0,0,0,0
Aransas,1,"Justice, Supreme Court","Place 6",REP,"Jane Bland",1454,43,1195,216
Aransas,1,"Justice, Supreme Court","Place 6",DEM,"Bonnie Lee Goldstein",277,25,207,45
Aransas,1,"Justice, Supreme Court","Place 6",LIB,"J. David Roberson",51,3,34,14
Aransas,1,"Justice, Supreme Court","Place 6",,Under Votes,57,6,36,15
