county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Armstrong,Precinct 101,Registered Voters,,,,364,,,
Armstrong,Precinct 101,Ballots Cast,,,,279,14,234,31
Armstrong,Precinct 101,Ballots Cast - Blank,,,,0,0,0,0
Armstrong,Precinct 101,President,,REP,Donald J. Trump/JD Vance,257,12,217,28
Armstrong,Precinct 101,President,,DEM,Kamala D. Harris/Tim Walz,17,2,13,2
Armstrong,Precinct 101,President,,LIB,Chase Oliver/Mike ter Maat,1,0,1,0
Armstrong,Precinct 101,President,,GRN,Jill Stein/Rudolph Ware,0,0,0,0
Armstrong,Precinct 101,President,,,Write-ins,2,0,1,1
Armstrong,Precinct 101,President,,,Over Votes,0,0,0,0
Armstrong,Precinct 101,President,,,Under Votes,2,0,2,0
Armstrong,Precinct 101,U.S. Senate,,REP,Ted Cruz,246,12,207,27
Armstrong,Precinct 101,U.S. Senate,,DEM,Colin Allred,26,2,20,4
Armstrong,Precinct 101,U.S. Senate,,LIB,Ted Brown,4,0,4,0
Armstrong,Precinct 101,U.S. Senate,,,Write-ins,2,0,2,0
Armstrong,Precinct 101,U.S. Senate,,,Over Votes,0,0,0,0
Armstrong,Precinct 101,U.S. Senate,,,Under Votes,1,0,1,0
Armstrong,Precinct 101,U.S. House,13,REP,Ronny Jackson,252,12,211,29
Armstrong,Precinct 101,U.S. House,13,,Over Votes,0,0,0,0
Armstrong,Precinct 101,U.S. House,13,,Under Votes,27,2,23,2
Armstrong,Precinct 101,Railroad Commissioner,,REP,Christi Craddick,238,13,200,25
Armstrong,Precinct 101,Railroad Commissioner,,DEM,Katherine Culbert,11,1,9,1
Armstrong,Precinct 101,Railroad Commissioner,,LIB,Hawk Dunlap,9,0,7,2
Armstrong,Precinct 101,Railroad Commissioner,,GRN,Eddie Espinoza,3,0,2,1
Armstrong,Precinct 101,Railroad Commissioner,,,Write-ins,0,0,0,0
Armstrong,Precinct 101,Railroad Commissioner,,,Over Votes,0,0,0,0
Armstrong,Precinct 101,Railroad Commissioner,,,Under Votes,18,0,16,2
Armstrong,Precinct 101,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,244,12,207,25
Armstrong,Precinct 101,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,16,1,13,2
Armstrong,Precinct 101,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
Armstrong,Precinct 101,"Justice, Supreme Court, Pl 2",,,Under Votes,19,1,14,4
Armstrong,Precinct 101,"Justice, Supreme Court, Pl 4",,REP,John Devine,246,12,208,26
Armstrong,Precinct 101,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,18,2,15,1
Armstrong,Precinct 101,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
Armstrong,Precinct 101,"Justice, Supreme Court, Pl 4",,,Under Votes,15,0,11,4
