county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Baylor,PRECINCT 1,Ballots Cast,,,,476,16,380,80
Baylor,PRECINCT 1,Ballots Cast - Blank,,,,0,0,0,0
Baylor,PRECINCT 1,President,,REP,Donald J. Trump,431,11,350,70
Baylor,PRECINCT 1,President,,DEM,Kamala D. Harris,37,5,24,8
Baylor,PRECINCT 1,President,,LIB,Chase Oliver,3,0,3,0
Baylor,PRECINCT 1,President,,GRN,Jill Stein,0,0,0,0
Baylor,PRECINCT 1,President,,,Write-ins,2,0,2,0
Baylor,PRECINCT 1,U.S. Senate,,REP,Ted Cruz,424,12,344,68
Baylor,PRECINCT 1,U.S. Senate,,DEM,Colin Allred,40,4,26,10
Baylor,PRECINCT 1,U.S. Senate,,LIB,Ted Brown,11,0,9,2
Baylor,PRECINCT 1,U.S. Senate,,,Write-ins,0,0,0,0
Baylor,PRECINCT 1,U.S. House,13,REP,Ronny Jackson,416,13,331,72
Baylor,PRECINCT 1,Railroad Commissioner,,REP,Christi Craddick,389,12,314,63
Baylor,PRECINCT 1,Railroad Commissioner,,DEM,Katherine Culbert,31,3,21,7
Baylor,PRECINCT 1,Railroad Commissioner,,LIB,Hawk Dunlap,15,0,11,4
Baylor,PRECINCT 1,Railroad Commissioner,,GRN,Eddie Espinoza,2,1,0,1
Baylor,PRECINCT 1,Railroad Commissioner,,,Write-ins,2,0,1,1
Baylor,PRECINCT 1,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,401,12,322,67
Baylor,PRECINCT 1,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,34,4,22,8
Baylor,PRECINCT 1,"Justice, Supreme Court, Pl 4",,REP,John Devine,398,12,321,65
Baylor,PRECINCT 1,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,38,4,25,9
Baylor,PRECINCT 1,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,396,12,318,66
Baylor,PRECINCT 1,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,36,4,25,7
Baylor,PRECINCT 1,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,5,0,4,1
Baylor,PRECINCT 1,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,402,12,322,68
Baylor,PRECINCT 1,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,35,4,25,6
Baylor,PRECINCT 1,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,403,11,324,68
Baylor,PRECINCT 1,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,32,4,23,5
Baylor,PRECINCT 1,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,403,12,323,68
Baylor,PRECINCT 1,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,29,4,20,5
Baylor,PRECINCT 1,"Member, State BoE, Dist 15",,REP,Aaron Kinsey,387,12,311,64
Baylor,PRECINCT 1,"Member, State BoE, Dist 15",,DEM,Morgan Kirkpatrick,40,4,29,7
Baylor,PRECINCT 1,"Member, State BoE, Dist 15",,LIB,Jack B. Westbrook,5,0,3,2
Baylor,PRECINCT 1,State Representative,69,REP,James B Frank,400,12,320,68
Baylor,PRECINCT 1,State Representative,69,DEM,Walter Coppage,35,4,26,5
Baylor,PRECINCT 1,"Chief Justice, 11th Ct of App Dist",,REP,John Bailey,402,12,320,70
Baylor,PRECINCT 1,"Dist Judge, 50th Judicial Dist",,REP,Jennifer A. Habert,402,13,321,68
Baylor,PRECINCT 1,"Dist Attorney, 50th Judicial Dist",,REP,Hunter Brooks,402,12,320,70
Baylor,PRECINCT 1,Baylor County Attorney,,,Write-ins,235,9,189,37
Baylor,PRECINCT 1,Sheriff,,REP,Robert Castilleja,83,3,55,25
Baylor,PRECINCT 1,Sheriff,,,Write-ins,368,10,305,53
Baylor,PRECINCT 1,County Tax Assessor-Collector,,REP,Jeanette Holub,428,13,337,78
Baylor,PRECINCT 1,County Commissioner Pct 1,,REP,Rick Gillispie,409,10,324,75
Baylor,PRECINCT 2,Ballots Cast,,,,434,10,351,73
Baylor,PRECINCT 2,Ballots Cast - Blank,,,,0,0,0,0
Baylor,PRECINCT 2,President,,REP,Donald J. Trump,393,9,321,63
Baylor,PRECINCT 2,President,,DEM,Kamala D. Harris,34,1,24,9
Baylor,PRECINCT 2,President,,LIB,Chase Oliver,0,0,0,0
Baylor,PRECINCT 2,President,,GRN,Jill Stein,2,0,2,0
Baylor,PRECINCT 2,President,,,Write-ins,0,0,0,0
Baylor,PRECINCT 2,U.S. Senate,,REP,Ted Cruz,377,9,313,55
Baylor,PRECINCT 2,U.S. Senate,,DEM,Colin Allred,43,1,29,13
Baylor,PRECINCT 2,U.S. Senate,,LIB,Ted Brown,6,0,3,3
Baylor,PRECINCT 2,U.S. Senate,,,Write-ins,1,0,0,1
Baylor,PRECINCT 2,U.S. House,13,REP,Ronny Jackson,376,9,309,58
Baylor,PRECINCT 2,Railroad Commissioner,,REP,Christi Craddick,349,8,285,56
Baylor,PRECINCT 2,Railroad Commissioner,,DEM,Katherine Culbert,31,1,19,11
Baylor,PRECINCT 2,Railroad Commissioner,,LIB,Hawk Dunlap,17,0,16,1
Baylor,PRECINCT 2,Railroad Commissioner,,GRN,Eddie Espinoza,4,0,4,0
Baylor,PRECINCT 2,Railroad Commissioner,,,Write-ins,2,0,2,0
Baylor,PRECINCT 2,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,364,9,298,57
Baylor,PRECINCT 2,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,33,1,22,10
Baylor,PRECINCT 2,"Justice, Supreme Court, Pl 4",,REP,John Devine,363,9,296,58
Baylor,PRECINCT 2,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,30,1,20,9
Baylor,PRECINCT 2,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,358,8,293,57
Baylor,PRECINCT 2,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,31,1,19,11
Baylor,PRECINCT 2,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,9,0,8,1
Baylor,PRECINCT 2,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,364,8,300,56
Baylor,PRECINCT 2,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,33,1,20,12
Baylor,PRECINCT 2,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,366,9,300,57
Baylor,PRECINCT 2,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,31,1,20,10
Baylor,PRECINCT 2,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,360,9,296,55
Baylor,PRECINCT 2,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,31,1,20,10
Baylor,PRECINCT 2,"Member, State BoE, Dist 15",,REP,Aaron Kinsey,353,8,290,55
Baylor,PRECINCT 2,"Member, State BoE, Dist 15",,DEM,Morgan Kirkpatrick,36,1,24,11
Baylor,PRECINCT 2,"Member, State BoE, Dist 15",,LIB,Jack B. Westbrook,11,1,7,3
Baylor,PRECINCT 2,State Representative,69,REP,James B Frank,368,8,300,60
Baylor,PRECINCT 2,State Representative,69,DEM,Walter Coppage,32,1,22,9
Baylor,PRECINCT 2,"Chief Justice, 11th Ct of App Dist",,REP,John Bailey,368,8,303,57
Baylor,PRECINCT 2,"Dist Judge, 50th Judicial Dist",,REP,Jennifer A. Habert,365,8,296,61
Baylor,PRECINCT 2,"Dist Attorney, 50th Judicial Dist",,REP,Hunter Brooks,362,8,298,56
Baylor,PRECINCT 2,Baylor County Attorney,,,Write-ins,211,6,185,20
Baylor,PRECINCT 2,Sheriff,,REP,Robert Castilleja,70,1,46,23
Baylor,PRECINCT 2,Sheriff,,,Write-ins,327,6,280,41
Baylor,PRECINCT 2,County Tax Assessor-Collector,,REP,Jeanette Holub,386,7,313,66
Baylor,PRECINCT 3,Ballots Cast,,,,358,15,273,70
Baylor,PRECINCT 3,Ballots Cast - Blank,,,,0,0,0,0
Baylor,PRECINCT 3,President,,REP,Donald J. Trump,297,9,235,53
Baylor,PRECINCT 3,President,,DEM,Kamala D. Harris,49,6,29,14
Baylor,PRECINCT 3,President,,LIB,Chase Oliver,3,0,2,1
Baylor,PRECINCT 3,President,,GRN,Jill Stein,3,0,2,1
Baylor,PRECINCT 3,President,,,Write-ins,2,0,1,1
Baylor,PRECINCT 3,U.S. Senate,,REP,Ted Cruz,285,9,226,50
Baylor,PRECINCT 3,U.S. Senate,,DEM,Colin Allred,52,5,32,15
Baylor,PRECINCT 3,U.S. Senate,,LIB,Ted Brown,13,1,9,3
Baylor,PRECINCT 3,U.S. Senate,,,Write-ins,1,0,0,1
Baylor,PRECINCT 3,U.S. House,13,REP,Ronny Jackson,284,10,223,51
Baylor,PRECINCT 3,Railroad Commissioner,,REP,Christi Craddick,268,8,214,46
Baylor,PRECINCT 3,Railroad Commissioner,,DEM,Katherine Culbert,39,5,27,7
Baylor,PRECINCT 3,Railroad Commissioner,,LIB,Hawk Dunlap,10,0,6,4
