county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Brazoria,1,Registered Voters,,,,4771,,,
Brazoria,1,Ballots Cast,,,,2580,,,
Brazoria,1,President,,REP,Donald J. Trump/JD Vance,1775,34,1423,318
Brazoria,1,President,,DEM,Kamala D. Harris/Tim Walz,776,39,606,131
Brazoria,1,President,,LIB,Chase Oliver/Mike ter Maat,15,0,10,5
Brazoria,1,President,,GRN,Jill Stein/Rudolph Ware,7,0,5,2
Brazoria,1,President,,,Under Votes,5,0,4,1
Brazoria,1,President,,,Over Votes,0,0,0,0
Brazoria,1,U.S. Senate,,REP,Ted Cruz,1651,31,1338,282
Brazoria,1,U.S. Senate,,DEM,Colin Allred,829,40,641,148
Brazoria,1,U.S. Senate,,LIB,Ted Brown,73,1,54,18
Brazoria,1,U.S. Senate,,,Under Votes,27,1,15,11
Brazoria,1,U.S. Senate,,,Over Votes,0,0,0,0
Brazoria,1,U.S. House,14,REP,Randy Weber,1793,36,1437,320
Brazoria,1,U.S. House,14,DEM,Rhonda Hart,729,36,567,126
Brazoria,1,U.S. House,14,,Under Votes,54,1,40,13
Brazoria,1,U.S. House,14,,Over Votes,0,0,0,0
Brazoria,1,Railroad Commissioner,,REP,Christi Craddick,1684,36,1359,289
Brazoria,1,Railroad Commissioner,,DEM,Katherine Culbert,677,35,538,104
Brazoria,1,Railroad Commissioner,,LIB,Hawk Dunlap,65,0,51,14
Brazoria,1,Railroad Commissioner,,GRN,Eddie Espinoza,76,0,43,33
Brazoria,1,Railroad Commissioner,,,Under Votes,77,1,57,19
Brazoria,1,Railroad Commissioner,,,Over Votes,0,0,0,0
Brazoria,1,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,1779,36,1433,310
Brazoria,1,"Justice, Supreme Court, Place 2",2,DEM,Dasean Jones,736,35,570,131
Brazoria,1,"Justice, Supreme Court, Place 2",2,,Under Votes,64,1,45,18
Brazoria,1,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0
Brazoria,1,"Justice, Supreme Court, Place 4",4,REP,John Devine,1745,36,1403,306
Brazoria,1,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,762,35,593,134
Brazoria,1,"Justice, Supreme Court, Place 4",4,,Under Votes,72,1,52,19
Brazoria,1,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0
Brazoria,1,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,1694,35,1369,290
