county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Caldwell,Precinct 100,Registered Voters,,,,578,,,
Caldwell,Precinct 100,Ballots Cast,,,,367,291,58,18
Caldwell,Precinct 100,Ballots Cast - Blank,,,,0,0,0,0
Caldwell,Precinct 100,President,,REP,Donald J. Trump/JD Vance,134,105,28,1
Caldwell,Precinct 100,President,,DEM,Kamala D. Harris/Tim Walz,224,180,27,17
Caldwell,Precinct 100,President,,LIB,Chase Oliver/Mike ter Maat,0,0,0,0
Caldwell,Precinct 100,President,,GRN,Jill Stein/Rudolph Ware,3,1,2,0
Caldwell,Precinct 100,President,,,Write-In Totals,3,3,0,0
Caldwell,Precinct 100,U.S. Senate,,REP,Ted Cruz,116,98,17,1
Caldwell,Precinct 100,U.S. Senate,,DEM,Colin Allred,236,187,32,17
Caldwell,Precinct 100,U.S. Senate,,LIB,Ted Brown,6,4,2,0
Caldwell,Precinct 100,U.S. Senate,,,Write-In Totals,1,0,1,0
Caldwell,Precinct 100,U.S. House,,REP,Michael Cloud,118,100,18,0
Caldwell,Precinct 100,U.S. House,,DEM,Tanya Lloyd,230,181,32,17
Caldwell,Precinct 100,Railroad Commissioner,,REP,Christi Craddick,113,97,16,0
Caldwell,Precinct 100,Railroad Commissioner,,DEM,Katherine Culbert,206,167,23,16
Caldwell,Precinct 100,Railroad Commissioner,,LIB,Hawk Dunlap,6,4,2,0
Caldwell,Precinct 100,Railroad Commissioner,,GRN,Eddie Espinoza,15,9,6,0
Caldwell,Precinct 100,Railroad Commissioner,,,Write-In Totals,1,0,1,0
Caldwell,Precinct 100,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,121,101,20,0
Caldwell,Precinct 100,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,225,181,29,15
Caldwell,Precinct 100,"Justice, Supreme Court, Pl 4",,REP,John Devine,123,105,18,0
Caldwell,Precinct 100,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,222,176,31,15
Caldwell,Precinct 100,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,123,105,18,0
Caldwell,Precinct 100,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,208,167,26,15
Caldwell,Precinct 100,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,13,8,5,0
Caldwell,Precinct 100,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,122,103,19,0
Caldwell,Precinct 100,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,221,177,29,15
Caldwell,Precinct 100,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,126,107,19,0
Caldwell,Precinct 100,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,216,173,28,15
Caldwell,Precinct 100,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,125,103,22,0
Caldwell,Precinct 100,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,217,176,26,15
Caldwell,Precinct 100,State Representative,,REP,Stan Gerdes,123,104,19,0
Caldwell,Precinct 100,State Representative,,DEM,Desiree Venable,222,178,29,15
Caldwell,Precinct 100,"Justice, 3rd Ct of App Dist, Pl 2",,REP,John Messinger,124,105,19,0
Caldwell,Precinct 100,"Justice, 3rd Ct of App Dist, Pl 2",,DEM,Maggie Ellis,220,176,29,15
Caldwell,Precinct 100,"Justice, 3rd Ct of App Dist, Pl 3",,DEM,Chari Kelly,260,208,37,15
Caldwell,Precinct 100,"Justice, 3rd Ct of App Dist, Pl 5",,DEM,Karin Crump,260,207,37,16
Caldwell,Precinct 100,"Justice, 3rd Ct of App Dist, Pl 6",,DEM,Gisela D. Triana,261,209,36,16
Caldwell,Precinct 100,"Dist Judge, 22nd Judicial Dist",,REP,R. Bruce Boyer,186,153,30,3
Caldwell,Precinct 100,"Dist Judge, 421st Judicial Dist",,REP,Amanda Montgomery,170,139,28,3
Caldwell,Precinct 100,Sheriff,,REP,Mike Lane,123,108,14,1
Caldwell,Precinct 100,Sheriff,,DEM,Hector Rangel,227,175,36,16
Caldwell,Precinct 100,County Tax Assessor-Collector,,REP,Debbie Sanders,120,101,17,2
Caldwell,Precinct 100,County Tax Assessor-Collector,,DEM,Joy Morris Pardo,229,180,34,15
Caldwell,Precinct 100,County Tax Assessor-Collector,,REP,Gloria Garcia,198,163,32,3
Caldwell,Precinct 100,County Commissioner Pct 1,,REP,B.J. Westmoreland,139,112,26,1
Caldwell,Precinct 100,County Commissioner Pct 1,,DEM,Taylor Burge,214,169,29,16
Caldwell,Precinct 100,Constable Pct 1,,REP,Richard Sanders,173,141,30,2
Caldwell,Precinct 101,Registered Voters,,,,756,,,
Caldwell,Precinct 101,Ballots Cast,,,,482,385,77,20
Caldwell,Precinct 101,Ballots Cast - Blank,,,,0,0,0,0
Caldwell,Precinct 101,President,,REP,Donald J. Trump/JD Vance,202,149,49,4
Caldwell,Precinct 101,President,,DEM,Kamala D. Harris/Tim Walz,274,231,27,16
Caldwell,Precinct 101,President,,LIB,Chase Oliver/Mike ter Maat,1,1,0,0
Caldwell,Precinct 101,President,,GRN,Jill Stein/Rudolph Ware,2,1,1,0
Caldwell,Precinct 101,President,,,Write-In Totals,1,1,0,0
Caldwell,Precinct 101,U.S. Senate,,REP,Ted Cruz,185,142,39,4
Caldwell,Precinct 101,U.S. Senate,,DEM,Colin Allred,277,226,35,16
Caldwell,Precinct 101,U.S. Senate,,LIB,Ted Brown,11,10,1,0
Caldwell,Precinct 101,U.S. Senate,,,Write-In Totals,0,0,0,0
Caldwell,Precinct 101,U.S. House,,REP,Michael Cloud,172,133,36,3
Caldwell,Precinct 101,U.S. House,,DEM,Tanya Lloyd,290,234,39,17
Caldwell,Precinct 101,Railroad Commissioner,,REP,Christi Craddick,192,145,43,4
Caldwell,Precinct 101,Railroad Commissioner,,DEM,Katherine Culbert,247,205,26,16
Caldwell,Precinct 101,Railroad Commissioner,,LIB,Hawk Dunlap,7,5,2,0
Caldwell,Precinct 101,Railroad Commissioner,,GRN,Eddie Espinoza,17,13,4,0
Caldwell,Precinct 101,Railroad Commissioner,,,Write-In Totals,0,0,0,0
Caldwell,Precinct 101,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,188,143,41,4
Caldwell,Precinct 101,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,263,216,32,15
Caldwell,Precinct 101,"Justice, Supreme Court, Pl 4",,REP,John Devine,185,137,44,4
Caldwell,Precinct 101,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,266,223,28,15
Caldwell,Precinct 101,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,182,139,40,3
Caldwell,Precinct 101,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,258,213,30,15
Caldwell,Precinct 101,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,10,7,3,0
Caldwell,Precinct 101,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,188,142,43,3
Caldwell,Precinct 101,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,262,217,30,15
Caldwell,Precinct 101,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,194,144,46,4
Caldwell,Precinct 101,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,257,216,27,14
Caldwell,Precinct 101,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,195,147,45,3
Caldwell,Precinct 101,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,252,209,28,15
Caldwell,Precinct 101,State Representative,,REP,Stan Gerdes,189,139,46,4
Caldwell,Precinct 101,State Representative,,DEM,Desiree Venable,267,223,29,15
Caldwell,Precinct 101,"Justice, 3rd Ct of App Dist, Pl 2",,REP,John Messinger,183,139,41,3
Caldwell,Precinct 101,"Justice, 3rd Ct of App Dist, Pl 2",,DEM,Maggie Ellis,264,217,32,15
Caldwell,Precinct 101,"Justice, 3rd Ct of App Dist, Pl 3",,DEM,Chari Kelly,325,257,51,17
Caldwell,Precinct 101,"Justice, 3rd Ct of App Dist, Pl 5",,DEM,Karin Crump,325,255,53,17
Caldwell,Precinct 101,"Justice, 3rd Ct of App Dist, Pl 6",,DEM,Gisela D. Triana,327,258,52,17
Caldwell,Precinct 101,"Dist Judge, 22nd Judicial Dist",,REP,R. Bruce Boyer,275,210,60,5
Caldwell,Precinct 101,"Dist Judge, 421st Judicial Dist",,REP,Amanda Montgomery,253,190,59,4
Caldwell,Precinct 101,Sheriff,,REP,Mike Lane,186,144,37,5
Caldwell,Precinct 101,Sheriff,,DEM,Hector Rangel,281,227,40,14
Caldwell,Precinct 101,County Tax Assessor-Collector,,REP,Debbie Sanders,168,134,31,3
Caldwell,Precinct 101,County Tax Assessor-Collector,,DEM,Joy Morris Pardo,295,235,45,15
Caldwell,Precinct 101,County Tax Assessor-Collector,,REP,Gloria Garcia,290,221,63,6
Caldwell,Precinct 101,County Commissioner Pct 1,,REP,B.J. Westmoreland,211,165,41,5
Caldwell,Precinct 101,County Commissioner Pct 1,,DEM,Taylor Burge,255,206,34,15
Caldwell,Precinct 101,Constable Pct 1,,REP,Richard Sanders,266,204,58,4
Caldwell,Precinct 102,Registered Voters,,,,755,,,
Caldwell,Precinct 102,Ballots Cast,,,,528,443,72,13
Caldwell,Precinct 102,Ballots Cast - Blank,,,,0,0,0,0
