county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Coryell,"101 - BS4","Registered Voters",,,,288,,,
Coryell,"101 - BS4","Ballots Cast",,,,196,0,0,0
Coryell,"101 - BS4","President",,REP,"Donald J. Trump",162,2,145,15
Coryell,"101 - BS4","President",,DEM,"Kamala D. Harris",31,0,26,5
Coryell,"101 - BS4","President",,LIB,"Chase Oliver",1,0,1,0
Coryell,"101 - BS4","President",,GRN,"Jill Stein",1,0,0,1
Coryell,"101 - BS4","President",,,"CHERUNDA FOX/HARLAN MCVAY (W)",0,0,0,0
Coryell,"101 - BS4","President",,,"CLAUDIA DE LA CRUZ/KARINA GARCIA (W)",0,0,0,0
Coryell,"101 - BS4","President",,,"CORNEL WEST/MELINA ABDULLAH (W)",0,0,0,0
Coryell,"101 - BS4","President",,,"JESSIE CUELLAR/WESLEY LASLEY (W)",0,0,0,0
Coryell,"101 - BS4","President",,,"PETER SONSKI/LAUREN ONAK (W)",0,0,0,0
Coryell,"101 - BS4","President",,,"SHIVA AYYADURAI/CRYSTAL ELLIS (W)",0,0,0,0
Coryell,"101 - BS4","President",,,"Over Votes",0,0,0,0
Coryell,"101 - BS4","President",,,"Under Votes",1,0,1,0
Coryell,"101 - BS4","U.S. Senate",,REP,"Ted Cruz",163,2,147,14
Coryell,"101 - BS4","U.S. Senate",,DEM,"Colin Allred",31,0,26,5
Coryell,"101 - BS4","U.S. Senate",,LIB,"Ted Brown",1,0,0,1
Coryell,"101 - BS4","U.S. Senate",,,"ANALISA ROCHE (W)",0,0,0,0
Coryell,"101 - BS4","U.S. Senate",,,"TRACY ANDRUS (W)",0,0,0,0
Coryell,"101 - BS4","U.S. Senate",,,"Over Votes",0,0,0,0
Coryell,"101 - BS4","U.S. Senate",,,"Under Votes",1,0,0,1
Coryell,"101 - BS4","U.S. House","31",REP,"John Carter",167,1,150,16
Coryell,"101 - BS4","U.S. House","31",DEM,"Stuart Whitlow",26,0,21,5
Coryell,"101 - BS4","U.S. House","31",,"Over Votes",1,1,0,0
Coryell,"101 - BS4","U.S. House","31",,"Under Votes",2,0,2,0
Coryell,"101 - BS4","Railroad Commissioner",,REP,"Christi Craddick",153,2,136,15
Coryell,"101 - BS4","Railroad Commissioner",,DEM,"Katherine Culbert",21,0,16,5
Coryell,"101 - BS4","Railroad Commissioner",,LIB,"Hawk Dunlap",12,0,12,0
Coryell,"101 - BS4","Railroad Commissioner",,GRN,"Eddie Espinoza",5,0,5,0
Coryell,"101 - BS4","Railroad Commissioner",,,"RICHARD MCKIBBIN (W)",0,0,0,0
Coryell,"101 - BS4","Railroad Commissioner",,,"Over Votes",0,0,0,0
Coryell,"101 - BS4","Railroad Commissioner",,,"Under Votes",5,0,4,1
Coryell,"101 - BS4","Justice, Supreme Court, Place 2",,REP,"Jimmy Blacklock",164,1,146,17
Coryell,"101 - BS4","Justice, Supreme Court, Place 2",,DEM,"DaSean Jones",27,0,24,3
Coryell,"101 - BS4","Justice, Supreme Court, Place 2",,,"Over Votes",0,0,0,0
Coryell,"101 - BS4","Justice, Supreme Court, Place 2",,,"Under Votes",5,1,3,1
Coryell,"101 - BS4","Justice, Supreme Court, Place 4",,REP,"John Devine",162,1,144,17
