county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Delta,1,Registered Voters,,,,925,,,
Delta,1,Ballots Cast,,,,627,,,
Delta,1,President,,REP,Donald J. Trump JD Vance,551,17,393,141
Delta,1,President,,DEM,Kamala D. Harris Tim Walz,71,2,56,13
Delta,1,President,,LIB,Chase Oliver Mike ter Maat,1,0,1,0
Delta,1,President,,GRN,Jill Stein Rudolph Ware,0,0,0,0
Delta,1,President,,,Under Votes,3,0,1,2
Delta,1,President,,,Over Votes,1,1,0,0
Delta,1,U.S. Senate,,REP,Ted Cruz,535,18,384,133
Delta,1,U.S. Senate,,DEM,Colin Allred,81,2,61,18
Delta,1,U.S. Senate,,LIB,Ted Brown,6,0,3,3
Delta,1,U.S. Senate,,,Under Votes,5,0,3,2
Delta,1,U.S. Senate,,,Over Votes,0,0,0,0
Delta,1,U.S. House,4,REP,Pat Fallon,544,17,391,136
Delta,1,U.S. House,4,DEM,Simon Cardell,64,2,52,10
Delta,1,U.S. House,4,,Under Votes,19,1,8,10
Delta,1,U.S. House,4,,Over Votes,0,0,0,0
Delta,1,Railroad Commissioner,,REP,Christi Craddick,517,17,366,134
Delta,1,Railroad Commissioner,,DEM,Katherine Culbert,56,2,46,8
Delta,1,Railroad Commissioner,,LIB,Hawk Dunlap,20,0,18,2
Delta,1,Railroad Commissioner,,GRN,Eddie Espinoza,8,0,5,3
Delta,1,Railroad Commissioner,,,Under Votes,26,1,16,9
Delta,1,Railroad Commissioner,,,Over Votes,0,0,0,0
Delta,1,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,537,17,383,137
Delta,1,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,66,2,54,10
Delta,1,"Justice, Supreme Court, Place 2",2,,Under Votes,24,1,14,9
Delta,1,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0
Delta,1,"Justice, Supreme Court, Place 4",4,REP,John Devine,534,17,382,135
Delta,1,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,68,2,54,12
Delta,1,"Justice, Supreme Court, Place 4",4,,Under Votes,25,1,15,9
Delta,1,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0
Delta,1,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,530,17,381,132
Delta,1,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,64,2,51,11
Delta,1,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,11,0,7,4
Delta,1,"Justice, Supreme Court, Place 6",6,,Under Votes,22,1,12,9
Delta,1,"Justice, Supreme Court, Place 6",6,,Over Votes,0,0,0,0
Delta,1,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,534,17,382,135
Delta,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,63,2,51,10
Delta,1,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,30,1,18,11
Delta,1,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
Delta,1,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,540,18,386,136
Delta,1,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,62,0,51,11
Delta,1,"Judge, Court of Criminal Appeals, Place 7",7,,Under Votes,24,1,14,9
