county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
DeWitt,101,Registered Voters,,,,1532,,,
DeWitt,101,Ballots Cast,,,,1124,,,
DeWitt,101,President,,REP,Donald J. Trump,905,63,733,109
DeWitt,101,President,,DEM,Kamala D. Harris,214,27,146,41
DeWitt,101,President,,LIB,Chase Oliver,2,0,1,1
DeWitt,101,President,,GRN,Jill Stein,1,0,1,0
DeWitt,101,President,,,Under Votes,2,0,2,0
DeWitt,101,President,,,Over Votes,0,0,0,0
DeWitt,101,U.S. Senate,,REP,Ted Cruz,862,54,708,100
DeWitt,101,U.S. Senate,,DEM,Colin Allred,237,34,159,44
DeWitt,101,U.S. Senate,,LIB,Ted Brown,12,0,8,4
DeWitt,101,U.S. Senate,,,Under Votes,13,2,8,3
DeWitt,101,U.S. Senate,,,Over Votes,0,0,0,0
DeWitt,101,U.S. House,27,REP,Michael Cloud,912,61,739,112
DeWitt,101,U.S. House,27,DEM,Tanya Lloyd,196,27,133,36
DeWitt,101,U.S. House,27,,Under Votes,16,2,11,3
DeWitt,101,U.S. House,27,,Over Votes,0,0,0,0
DeWitt,101,Railroad Commissioner,,REP,Christi Craddick,878,61,716,101
DeWitt,101,Railroad Commissioner,,DEM,Katherine Culbert,185,24,128,33
DeWitt,101,Railroad Commissioner,,LIB,Hawk Dunlap,22,1,11,10
DeWitt,101,Railroad Commissioner,,GRN,Eddie Espinoza,8,1,4,3
DeWitt,101,Railroad Commissioner,,,Under Votes,31,3,24,4
DeWitt,101,Railroad Commissioner,,,Over Votes,0,0,0,0
DeWitt,101,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,904,61,732,111
DeWitt,101,"Justice, Supreme Court, Place 2",,DEM,DaSean Jones,190,25,129,36
DeWitt,101,"Justice, Supreme Court, Place 2",,,Under Votes,30,4,22,4
DeWitt,101,"Justice, Supreme Court, Place 2",,,Over Votes,0,0,0,0
DeWitt,101,"Justice, Supreme Court, Place 4",,REP,John Devine,893,59,725,109
DeWitt,101,"Justice, Supreme Court, Place 4",,DEM,Christine Vinh Weems,197,26,132,39
DeWitt,101,"Justice, Supreme Court, Place 4",,,Under Votes,34,5,26,3
DeWitt,101,"Justice, Supreme Court, Place 4",,,Over Votes,0,0,0,0
DeWitt,101,"Justice, Supreme Court, Place 6",,REP,Jane Bland,887,62,717,108
DeWitt,101,"Justice, Supreme Court, Place 6",,DEM,Bonnie Lee Goldstein,191,24,130,37
DeWitt,101,"Justice, Supreme Court, Place 6",,LIB,J. David Roberson,18,1,14,3
DeWitt,101,"Justice, Supreme Court, Place 6",,,Under Votes,28,3,22,3
DeWitt,101,"Justice, Supreme Court, Place 6",,,Over Votes,0,0,0,0
DeWitt,101,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,898,59,730,109
DeWitt,101,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,197,26,132,39
DeWitt,101,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,29,5,21,3
DeWitt,101,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
DeWitt,101,"Judge, Court of Criminal Appeals, Place 7",,REP,Gina Parker,893,59,728,106
DeWitt,101,"Judge, Court of Criminal Appeals, Place 7",,DEM,Nancy Mulder,194,26,127,41
DeWitt,101,"Judge, Court of Criminal Appeals, Place 7",,,Under Votes,37,5,28,4
DeWitt,101,"Judge, Court of Criminal Appeals, Place 7",,,Over Votes,0,0,0,0
DeWitt,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Lee Finley,910,60,733,117
DeWitt,101,"Judge, Court of Criminal Appeals, Place 8",,DEM,Chika Anyiam,181,25,123,33
DeWitt,101,"Judge, Court of Criminal Appeals, Place 8",,,Under Votes,33,5,25,3
DeWitt,101,"Judge, Court of Criminal Appeals, Place 8",,,Over Votes,0,0,0,0
DeWitt,101,"Member, State Board of Education",3,DEM,Marisa Perez-Diaz,447,38,332,77
DeWitt,101,"Member, State Board of Education",3,,Under Votes,677,52,551,74
DeWitt,101,"Member, State Board of Education",3,,Over Votes,0,0,0,0
DeWitt,101,State Representative,30,REP,AJ Louderback,893,50,731,112
DeWitt,101,State Representative,30,DEM,Stephanie R. Bassham,199,28,134,37
DeWitt,101,State Representative,30,,Under Votes,32,12,18,2
DeWitt,101,State Representative,30,,Over Votes,0,0,0,0
DeWitt,101,"Chief Justice, 13th Court of Appeals District",,REP,Jaime Tijerina,877,49,722,106
DeWitt,101,"Chief Justice, 13th Court of Appeals District",,DEM,Gina Benavides,200,25,136,39
DeWitt,101,"Chief Justice, 13th Court of Appeals District",,,Under Votes,47,16,25,6
DeWitt,101,"Chief Justice, 13th Court of Appeals District",,,Over Votes,0,0,0,0
DeWitt,101,"Justice, 13th Court of Appeals District, Place 2",,REP,Jenny Cron,875,50,719,106
DeWitt,101,"Justice, 13th Court of Appeals District, Place 2",,DEM,Nora Longoria,206,24,142,40
DeWitt,101,"Justice, 13th Court of Appeals District, Place 2",,,Under Votes,43,16,22,5
DeWitt,101,"Justice, 13th Court of Appeals District, Place 2",,,Over Votes,0,0,0,0
DeWitt,101,"Justice, 13th Court of Appeals District, Place 4",,REP,Ysmael D. Fonseca,868,50,717,101
DeWitt,101,"Justice, 13th Court of Appeals District, Place 4",,DEM,Joe Martinez,201,23,136,42
DeWitt,101,"Justice, 13th Court of Appeals District, Place 4",,,Under Votes,55,17,30,8
DeWitt,101,"Justice, 13th Court of Appeals District, Place 4",,,Over Votes,0,0,0,0
DeWitt,101,"Justice, 13th Court of Appeals District, Place 5",,REP,Jon West,891,50,731,110
DeWitt,101,"Justice, 13th Court of Appeals District, Place 5",,DEM,Regi Compian Richardson,183,22,126,35
DeWitt,101,"Justice, 13th Court of Appeals District, Place 5",,,Under Votes,50,18,26,6
DeWitt,101,"Justice, 13th Court of Appeals District, Place 5",,,Over Votes,0,0,0,0
DeWitt,101,"District Judge, 24th Judicial District",,REP,Lisa Harvey Moore,940,56,763,121
DeWitt,101,"District Judge, 24th Judicial District",,,Under Votes,184,34,120,30
DeWitt,101,"District Judge, 24th Judicial District",,,Over Votes,0,0,0,0
DeWitt,101,"District Judge, 135th Judicial District",,REP,Kemper Stephen Williams,948,59,767,122
DeWitt,101,"District Judge, 135th Judicial District",,,Under Votes,176,31,116,29
DeWitt,101,"District Judge, 135th Judicial District",,,Over Votes,0,0,0,0
DeWitt,101,"District Attorney, 24th Judicial District",,REP,Brian Michael Cromeens,942,55,764,123
DeWitt,101,"District Attorney, 24th Judicial District",,,Under Votes,182,35,119,28
DeWitt,101,"District Attorney, 24th Judicial District",,,Over Votes,0,0,0,0
DeWitt,101,County Attorney,,REP,A. Jay Condie,934,55,758,121
DeWitt,101,County Attorney,,,Under Votes,190,35,125,30
DeWitt,101,County Attorney,,,Over Votes,0,0,0,0
DeWitt,101,Sheriff,,REP,Carl R. Bowen,943,63,762,118
DeWitt,101,Sheriff,,,Under Votes,181,27,121,33
DeWitt,101,Sheriff,,,Over Votes,0,0,0,0
DeWitt,101,County Tax Assessor-Collector,,REP,Ashley D. Mraz,965,59,781,125
DeWitt,101,County Tax Assessor-Collector,,,Under Votes,159,31,102,26
DeWitt,101,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
DeWitt,101,"County Treasurer, Unexpired Term",,REP,Desirae Poth-Garibay,956,58,773,125
DeWitt,101,"County Treasurer, Unexpired Term",,,Under Votes,168,32,110,26
DeWitt,101,"County Treasurer, Unexpired Term",,,Over Votes,0,0,0,0
DeWitt,101,"County Commissioner, Precinct 1",,REP,Ryan Varela,956,58,773,125
DeWitt,101,"County Commissioner, Precinct 1",,,Under Votes,168,32,110,26
DeWitt,101,"County Commissioner, Precinct 1",,,Over Votes,0,0,0,0
DeWitt,101,"Constable, Precinct 1",,REP,Roy Kuester,960,59,780,121
DeWitt,101,"Constable, Precinct 1",,,Under Votes,164,31,103,30
DeWitt,101,"Constable, Precinct 1",,,Over Votes,0,0,0,0
DeWitt,102,Registered Voters,,,,1134,,,
DeWitt,102,Ballots Cast,,,,520,,,
DeWitt,102,President,,REP,Donald J. Trump,260,9,192,59
DeWitt,102,President,,DEM,Kamala D. Harris,254,16,167,71
DeWitt,102,President,,LIB,Chase Oliver,3,0,1,2
DeWitt,102,President,,GRN,Jill Stein,1,0,0,1
DeWitt,102,President,,,Under Votes,1,0,1,0
DeWitt,102,President,,,Over Votes,1,0,0,1
DeWitt,102,U.S. Senate,,REP,Ted Cruz,243,10,180,53
DeWitt,102,U.S. Senate,,DEM,Colin Allred,248,16,159,73
DeWitt,102,U.S. Senate,,LIB,Ted Brown,18,0,12,6
DeWitt,102,U.S. Senate,,,Under Votes,11,0,10,1
DeWitt,102,U.S. Senate,,,Over Votes,0,0,0,0
DeWitt,102,U.S. House,27,REP,Michael Cloud,262,11,192,59
DeWitt,102,U.S. House,27,DEM,Tanya Lloyd,240,15,153,72
DeWitt,102,U.S. House,27,,Under Votes,18,0,16,2
DeWitt,102,U.S. House,27,,Over Votes,0,0,0,0
DeWitt,102,Railroad Commissioner,,REP,Christi Craddick,245,9,186,50
DeWitt,102,Railroad Commissioner,,DEM,Katherine Culbert,218,17,137,64
DeWitt,102,Railroad Commissioner,,LIB,Hawk Dunlap,11,0,8,3
DeWitt,102,Railroad Commissioner,,GRN,Eddie Espinoza,19,0,10,9
DeWitt,102,Railroad Commissioner,,,Under Votes,27,0,20,7
DeWitt,102,Railroad Commissioner,,,Over Votes,0,0,0,0
DeWitt,102,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,259,10,194,55
DeWitt,102,"Justice, Supreme Court, Place 2",,DEM,DaSean Jones,237,16,151,70
DeWitt,102,"Justice, Supreme Court, Place 2",,,Under Votes,24,0,16,8
DeWitt,102,"Justice, Supreme Court, Place 2",,,Over Votes,0,0,0,0
DeWitt,102,"Justice, Supreme Court, Place 4",,REP,John Devine,252,9,190,53
DeWitt,102,"Justice, Supreme Court, Place 4",,DEM,Christine Vinh Weems,243,17,154,72
DeWitt,102,"Justice, Supreme Court, Place 4",,,Under Votes,25,0,17,8
DeWitt,102,"Justice, Supreme Court, Place 4",,,Over Votes,0,0,0,0
DeWitt,102,"Justice, Supreme Court, Place 6",,REP,Jane Bland,247,10,179,58
DeWitt,102,"Justice, Supreme Court, Place 6",,DEM,Bonnie Lee Goldstein,229,16,150,63
DeWitt,102,"Justice, Supreme Court, Place 6",,LIB,J. David Roberson,16,0,13,3
DeWitt,102,"Justice, Supreme Court, Place 6",,,Under Votes,28,0,19,9
DeWitt,102,"Justice, Supreme Court, Place 6",,,Over Votes,0,0,0,0
DeWitt,102,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,256,11,190,55
DeWitt,102,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,237,15,152,70
DeWitt,102,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,27,0,19,8
DeWitt,102,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
DeWitt,102,"Judge, Court of Criminal Appeals, Place 7",,REP,Gina Parker,264,10,194,60
DeWitt,102,"Judge, Court of Criminal Appeals, Place 7",,DEM,Nancy Mulder,233,16,150,67
DeWitt,102,"Judge, Court of Criminal Appeals, Place 7",,,Under Votes,23,0,17,6
DeWitt,102,"Judge, Court of Criminal Appeals, Place 7",,,Over Votes,0,0,0,0
DeWitt,102,"Judge, Court of Criminal Appeals, Place 8",,REP,Lee Finley,267,10,195,62
DeWitt,102,"Judge, Court of Criminal Appeals, Place 8",,DEM,Chika Anyiam,225,16,145,64
DeWitt,102,"Judge, Court of Criminal Appeals, Place 8",,,Under Votes,28,0,21,7
DeWitt,102,"Judge, Court of Criminal Appeals, Place 8",,,Over Votes,0,0,0,0
DeWitt,102,"Member, State Board of Education",3,DEM,Marisa Perez-Diaz,332,20,212,100
DeWitt,102,"Member, State Board of Education",3,,Under Votes,188,6,149,33
DeWitt,102,"Member, State Board of Education",3,,Over Votes,0,0,0,0
DeWitt,102,State Representative,30,REP,AJ Louderback,263,12,194,57
DeWitt,102,State Representative,30,DEM,Stephanie R. Bassham,233,14,150,69
DeWitt,102,State Representative,30,,Under Votes,24,0,17,7
DeWitt,102,State Representative,30,,Over Votes,0,0,0,0
DeWitt,102,"Chief Justice, 13th Court of Appeals District",,REP,Jaime Tijerina,252,9,186,57
DeWitt,102,"Chief Justice, 13th Court of Appeals District",,DEM,Gina Benavides,244,17,159,68
DeWitt,102,"Chief Justice, 13th Court of Appeals District",,,Under Votes,24,0,16,8
DeWitt,102,"Chief Justice, 13th Court of Appeals District",,,Over Votes,0,0,0,0
DeWitt,102,"Justice, 13th Court of Appeals District, Place 2",,REP,Jenny Cron,248,9,189,50
DeWitt,102,"Justice, 13th Court of Appeals District, Place 2",,DEM,Nora Longoria,246,17,157,72
DeWitt,102,"Justice, 13th Court of Appeals District, Place 2",,,Under Votes,26,0,15,11
DeWitt,102,"Justice, 13th Court of Appeals District, Place 2",,,Over Votes,0,0,0,0
DeWitt,102,"Justice, 13th Court of Appeals District, Place 4",,REP,Ysmael D. Fonseca,254,9,187,58
DeWitt,102,"Justice, 13th Court of Appeals District, Place 4",,DEM,Joe Martinez,238,17,155,66
DeWitt,102,"Justice, 13th Court of Appeals District, Place 4",,,Under Votes,28,0,19,9
DeWitt,102,"Justice, 13th Court of Appeals District, Place 4",,,Over Votes,0,0,0,0
DeWitt,102,"Justice, 13th Court of Appeals District, Place 5",,REP,Jon West,262,9,196,57
DeWitt,102,"Justice, 13th Court of Appeals District, Place 5",,DEM,Regi Compian Richardson,233,17,150,66
DeWitt,102,"Justice, 13th Court of Appeals District, Place 5",,,Under Votes,25,0,15,10
DeWitt,102,"Justice, 13th Court of Appeals District, Place 5",,,Over Votes,0,0,0,0
DeWitt,102,"District Judge, 24th Judicial District",,REP,Lisa Harvey Moore,326,13,231,82
DeWitt,102,"District Judge, 24th Judicial District",,,Under Votes,194,13,130,51
DeWitt,102,"District Judge, 24th Judicial District",,,Over Votes,0,0,0,0
DeWitt,102,"District Judge, 135th Judicial District",,REP,Kemper Stephen Williams,322,13,229,80
DeWitt,102,"District Judge, 135th Judicial District",,,Under Votes,198,13,132,53
DeWitt,102,"District Judge, 135th Judicial District",,,Over Votes,0,0,0,0
DeWitt,102,"District Attorney, 24th Judicial District",,REP,Brian Michael Cromeens,327,14,231,82
DeWitt,102,"District Attorney, 24th Judicial District",,,Under Votes,193,12,130,51
DeWitt,102,"District Attorney, 24th Judicial District",,,Over Votes,0,0,0,0
DeWitt,102,County Attorney,,REP,A. Jay Condie,319,14,222,83
DeWitt,102,County Attorney,,,Under Votes,201,12,139,50
DeWitt,102,County Attorney,,,Over Votes,0,0,0,0
DeWitt,102,Sheriff,,REP,Carl R. Bowen,327,14,231,82
DeWitt,102,Sheriff,,,Under Votes,193,12,130,51
DeWitt,102,Sheriff,,,Over Votes,0,0,0,0
DeWitt,102,County Tax Assessor-Collector,,REP,Ashley D. Mraz,342,15,243,84
DeWitt,102,County Tax Assessor-Collector,,,Under Votes,178,11,118,49
DeWitt,102,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
DeWitt,102,"County Treasurer, Unexpired Term",,REP,Desirae Poth-Garibay,334,14,237,83
