county,precinct,office,district,party,candidate,votes
Freestone,Fairfield #1,Registered Voters,,,,0
Freestone,Fairfield #1,Ballots Cast,,,,2024
Freestone,Fairfield #1,Ballots Cast - Blank,,,,0
Freestone,Fairfield #1,President,,REP,Donald J. Trump,1744
Freestone,Fairfield #1,President,,DEM,Kamala D. Harris,262
Freestone,Fairfield #1,President,,LIB,Chase Oliver,10
Freestone,Fairfield #1,President,,GRN,Jill Stein,2
Freestone,Fairfield #1,President,,,Write-ins,1
Freestone,Fairfield #1,U.S. Senate,,REP,Ted Cruz,1655
Freestone,Fairfield #1,U.S. Senate,,DEM,Colin Allred,298
Freestone,Fairfield #1,U.S. Senate,,LIB,Ted Brown,37
Freestone,Fairfield #1,U.S. Senate,,,Write-ins,2
Freestone,Fairfield #1,U.S. House,6,REP,Jake Ellzey,1702
Freestone,Fairfield #1,U.S. House,6,DEM,John Love III,236
Freestone,Fairfield #1,Railroad Commissioner,,REP,Christi Craddick,1639
Freestone,Fairfield #1,Railroad Commissioner,,DEM,Katherine Culbert,227
Freestone,Fairfield #1,Railroad Commissioner,,LIB,Hawk Dunlap,51
Freestone,Fairfield #1,Railroad Commissioner,,GRN,Eddie Espinoza,16
Freestone,Fairfield #1,Railroad Commissioner,,,Write-ins,0
Freestone,Fairfield #1,"Justice, Supreme Court, PI 2",,REP,Jimmy Blacklock,1693
Freestone,Fairfield #1,"Justice, Supreme Court, PI 2",,DEM,DaSean Jones,236
Freestone,Fairfield #1,"Justice, Supreme Court, PI 4",,REP,John Devine,1662
Freestone,Fairfield #1,"Justice, Supreme Court, PI 4",,DEM,Christine Vinh Weems,253
Freestone,Fairfield #1,"Justice, Supreme Court, PI 6",,REP,Jane Bland,1639
Freestone,Fairfield #1,"Justice, Supreme Court, PI 6",,DEM,Bonnie Lee Goldstein,235
Freestone,Fairfield #1,"Justice, Supreme Court, PI 6",,LIB,J. David Roberson,41
Freestone,Fairfield #1,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,1666
Freestone,Fairfield #1,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,246
Freestone,Fairfield #1,"Judge, Ct of Crim App, PI 7",,REP,Gina Parker,1666
Freestone,Fairfield #1,"Judge, Ct of Crim App, PI 7",,DEM,Nancy Mulder,238
Freestone,Fairfield #1,"Judge, Ct of Crim App, PI 8",,REP,Lee Finley,1672
Freestone,Fairfield #1,"Judge, Ct of Crim App, PI 8",,DEM,Chika Anyiam,232
Freestone,Fairfield #1,"Member, State BoE, Dist 10",,REP,Tom Maynard,1671
Freestone,Fairfield #1,"Member, State BoE, Dist 10",,DEM,Raquel Saenz Ortiz,247
Freestone,Fairfield #1,"State Representative",13,REP,Angelia Orr,1643
Freestone,Fairfield #1,"State Representative",13,DEM,Albert Hunter,255
Freestone,Fairfield #1,"Chief Justice, 10th Ct of App Dist",,REP,Matt Johnson,1731
Freestone,Fairfield #1,"Dist Judge, 77th Judicial Dist",,REP,Roy DeFriend,1719
Freestone,Fairfield #1,County Attorney,,REP,Brian Evans,1734
Freestone,Fairfield #1,Sheriff,,REP,Jeremy Shipley,1745
Freestone,Fairfield #1,County Tax Assessor-Collector,,REP,Daniel Max Ralstin,1706
Freestone,Fairfield #1,County Treasurer - Unexpired Term,,REP,Mandy Chavers,1720
Freestone,Fairfield #1,County Commissioner Pct 1,,REP,Andy Bonner,1730
Freestone,Fairfield #1,Constable Pct 1,,REP,Buck Bonner,1766
Freestone,Fairfield #2,Registered Voters,,,,0
Freestone,Fairfield #2,Ballots Cast,,,,1217
Freestone,Fairfield #2,Ballots Cast - Blank,,,,0
Freestone,Fairfield #2,President,,REP,Donald J. Trump,937
Freestone,Fairfield #2,President,,DEM,Kamala D. Harris,269
Freestone,Fairfield #2,President,,LIB,Chase Oliver,5
Freestone,Fairfield #2,President,,GRN,Jill Stein,2
Freestone,Fairfield #2,President,,,Write-ins,3
Freestone,Fairfield #2,U.S. Senate,,REP,Ted Cruz,894
Freestone,Fairfield #2,U.S. Senate,,DEM,Colin Allred,280
Freestone,Fairfield #2,U.S. Senate,,LIB,Ted Brown,22
Freestone,Fairfield #2,U.S. Senate,,,Write-ins,0
