county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Gonzales,1,Registered Voters,,,,2847,,,
Gonzales,1,Ballots Cast,,,,1729,74,1385,270
Gonzales,1,Ballots Cast Blank,,,,0,0,0,0
Gonzales,1,President,,REP,Donald J. Trump,1318,49,1084,185
Gonzales,1,President,,DEM,Kamala D. Harris,389,23,285,81
Gonzales,1,President,,LIB,Chase Oliver,8,1,7,0
Gonzales,1,President,,GRN,Jill Stein,4,0,1,3
Gonzales,1,President,,,Write-ins,4,0,3,1
Gonzales,1,President,,,Over Votes,1,0,1,0
Gonzales,1,President,,,Under Votes,5,1,4,0
Gonzales,1,U.S. Senate,,REP,Ted Cruz,1239,45,1029,165
Gonzales,1,U.S. Senate,,DEM,Colin Allred,427,25,311,91
Gonzales,1,U.S. Senate,,LIB,Ted Brown,38,1,29,8
Gonzales,1,U.S. Senate,,,Write-ins,0,0,0,0
Gonzales,1,U.S. Senate,,,Over Votes,1,0,1,0
Gonzales,1,U.S. Senate,,,Under Votes,24,3,15,6
Gonzales,1,U.S. House,27,REP,Michael Cloud,1302,48,1075,179
Gonzales,1,U.S. House,27,DEM,Tanya Lloyd,363,21,264,78
Gonzales,1,U.S. House,27,,Over Votes,0,0,0,0
Gonzales,1,U.S. House,27,,Under Votes,64,5,46,13
Gonzales,1,Railroad Commissioner,,REP,Christi Craddick,1228,44,1023,161
Gonzales,1,Railroad Commissioner,,DEM,Katherine Culbert,330,21,239,70
Gonzales,1,Railroad Commissioner,,LIB,Hawk Dunlap,40,2,31,7
Gonzales,1,Railroad Commissioner,,GRN,Eddie Espinoza,56,2,39,15
Gonzales,1,Railroad Commissioner,,,Write-ins,3,0,3,0
Gonzales,1,Railroad Commissioner,,,Over Votes,0,0,0,0
Gonzales,1,Railroad Commissioner,,,Under Votes,72,5,50,17
Gonzales,1,"Justice, Supreme Court",2,REP,Jimmy Blacklock,1279,47,1056,176
Gonzales,1,"Justice, Supreme Court",2,DEM,DaSean Jones,371,20,273,78
Gonzales,1,"Justice, Supreme Court",2,,Over Votes,0,0,0,0
Gonzales,1,"Justice, Supreme Court",2,,Under Votes,79,7,56,16
Gonzales,1,"Justice, Supreme Court",4,REP,John Devine,1265,45,1048,172
Gonzales,1,"Justice, Supreme Court",4,DEM,Christine Vinh Weems,373,20,273,80
Gonzales,1,"Justice, Supreme Court",4,,Over Votes,0,0,0,0
Gonzales,1,"Justice, Supreme Court",4,,Under Votes,90,9,63,18
Gonzales,1,"Justice, Supreme Court",6,REP,Jane Bland,1236,44,1022,170
Gonzales,1,"Justice, Supreme Court",6,DEM,Bonnie Lee Goldstein,358,21,267,70
Gonzales,1,"Justice, Supreme Court",6,LIB,J. David Roberson,38,1,26,11
Gonzales,1,"Justice, Supreme Court",6,,Over Votes,0,0,0,0
Gonzales,1,"Justice, Supreme Court",6,,Under Votes,97,8,70,19
Gonzales,1,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,1266,41,1047,178
Gonzales,1,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,365,23,268,74
Gonzales,1,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
Gonzales,1,"Presiding Judge, Ct of Crim App",,,Under Votes,98,10,70,18
Gonzales,1,"Judge, Ct of Crim App",7,REP,Gina Parker,1253,42,1034,177
Gonzales,1,"Judge, Ct of Crim App",7,DEM,Nancy Mulder,371,22,276,73
Gonzales,1,"Judge, Ct of Crim App",7,,Over Votes,0,0,0,0
Gonzales,1,"Judge, Ct of Crim App",7,,Under Votes,105,10,75,20
Gonzales,1,"Judge, Ct of Crim App",8,REP,Lee Finley,1261,43,1046,172
Gonzales,1,"Judge, Ct of Crim App",8,DEM,Chika Anyiam,360,21,263,76
Gonzales,1,"Judge, Ct of Crim App",8,,Over Votes,0,0,0,0
Gonzales,1,"Judge, Ct of Crim App",8,,Under Votes,108,10,76,22
Gonzales,1,"Member, State BoE",3,DEM,Marisa Perez-Diaz,699,32,528,139
Gonzales,1,"Member, State BoE",3,,Over Votes,0,0,0,0
Gonzales,1,"Member, State BoE",3,,Under Votes,1030,42,857,131
Gonzales,1,State Representative,44,REP,Alan Schoolcraft,1218,44,1008,166
Gonzales,1,State Representative,44,DEM,Eric Norman,400,22,300,78
Gonzales,1,State Representative,44,,Over Votes,0,0,0,0
Gonzales,1,State Representative,44,,Under Votes,111,8,77,26
Gonzales,1,"Chief Justice, 13th Ct of App Dist",,REP,Jaime Tijerina,1228,42,1011,175
Gonzales,1,"Chief Justice, 13th Ct of App Dist",,DEM,Gina Benavides,373,23,278,72
Gonzales,1,"Chief Justice, 13th Ct of App Dist",,,Over Votes,0,0,0,0
Gonzales,1,"Chief Justice, 13th Ct of App Dist",,,Under Votes,128,9,96,23
Gonzales,1,"Justice, 13th Ct of App Dist",2,REP,Jenny Cron,1217,42,1011,164
Gonzales,1,"Justice, 13th Ct of App Dist",2,DEM,Nora Longoria,386,23,278,85
Gonzales,1,"Justice, 13th Ct of App Dist",2,,Over Votes,0,0,0,0
Gonzales,1,"Justice, 13th Ct of App Dist",2,,Under Votes,126,9,96,21
Gonzales,1,"Justice, 13th Ct of App Dist",4,REP,Ysmael D. Fonseca,1220,41,1011,168
Gonzales,1,"Justice, 13th Ct of App Dist",4,DEM,Joe Martinez,381,22,281,78
Gonzales,1,"Justice, 13th Ct of App Dist",4,,Over Votes,0,0,0,0
Gonzales,1,"Justice, 13th Ct of App Dist",4,,Under Votes,128,11,93,24
Gonzales,1,"Justice, 13th Ct of App Dist",5,REP,Jon West,1255,43,1036,176
Gonzales,1,"Justice, 13th Ct of App Dist",5,DEM,Regi Complian Richardson,352,20,259,73
Gonzales,1,"Justice, 13th Ct of App Dist",5,,Over Votes,0,0,0,0
Gonzales,1,"Justice, 13th Ct of App Dist",5,,Under Votes,122,11,90,21
Gonzales,1,"Dist Judge, 25th Judicial Dist",,REP,Bill Old,1384,55,1129,200
Gonzales,1,"Dist Judge, 25th Judicial Dist",,,Over Votes,0,0,0,0
Gonzales,1,"Dist Judge, 25th Judicial Dist",,,Under Votes,345,19,256,70
Gonzales,1,"Dist Judge, 2nd 25th Judicial Dist",,REP,Jessica Richard Crawford,1360,49,1108,203
Gonzales,1,"Dist Judge, 2nd 25th Judicial Dist",,,Over Votes,0,0,0,0
Gonzales,1,"Dist Judge, 2nd 25th Judicial Dist",,,Under Votes,369,25,277,67
Gonzales,1,County Attorney,,REP,"Eduardo ""Eddie"" Xavier Escobar",1419,54,1150,215
Gonzales,1,County Attorney,,,Over Votes,0,0,0,0
Gonzales,1,County Attorney,,,Under Votes,310,20,235,55
Gonzales,1,Sheriff,,REP,Keith A. Schmidt,1262,50,1029,183
Gonzales,1,Sheriff,,DEM,Clay Allen,382,22,295,65
Gonzales,1,Sheriff,,,Over Votes,0,0,0,0
Gonzales,1,Sheriff,,,Under Votes,85,2,61,22
Gonzales,1,County Tax Assessor-Collector,,REP,Crystal Cedillo,1412,54,1155,203
Gonzales,1,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
Gonzales,1,County Tax Assessor-Collector,,,Under Votes,317,20,230,67
Gonzales,1,County Commissioner,1,REP,"Anton W ""Tony"" Matias",1446,51,1179,216
Gonzales,1,County Commissioner,1,Over Votes,0,0,0,0,
Gonzales,1,County Commissioner,1,Under Votes,283,23,206,54,
Gonzales,1,Constable,1,REP,Johnnie Hall,1370,55,1114,201
Gonzales,1,Constable,1,Over Votes,0,0,0,0,
Gonzales,1,Constable,1,Under Votes,359,19,271,69,
Gonzales,1,Proposition A Yoakum ISD,,,For,13,0,11,2
Gonzales,1,Proposition A Yoakum ISD,,,Against,14,0,12,2
Gonzales,1,Proposition A Yoakum ISD,,,Over Votes,0,0,0,0
Gonzales,1,Proposition A Yoakum ISD,,,Under Votes,3,0,3,0
Gonzales,2,Registered Voters,,,,1953,,,
Gonzales,2,Ballots Cast,,,,1036,50,806,180
Gonzales,2,Ballots Cast Blank,,,,0,0,0,0
Gonzales,2,President,,REP,Donald J. Trump,746,30,612,104
Gonzales,2,President,,DEM,Kamala D. Harris,278,20,186,72
Gonzales,2,President,,LIB,Chase Oliver,4,0,1,3
Gonzales,2,President,,GRN,Jill Stein,4,0,4,0
Gonzales,2,President,,,Write-ins,1,0,0,1
Gonzales,2,President,,,Over Votes,0,0,0,0
Gonzales,2,President,,,Under Votes,3,0,3,0
Gonzales,2,U.S. Senate,,REP,Ted Cruz,690,30,579,81
Gonzales,2,U.S. Senate,,DEM,Colin Allred,307,20,205,82
Gonzales,2,U.S. Senate,,LIB,Ted Brown,19,0,10,9
Gonzales,2,U.S. Senate,,,Write-ins,2,0,0,2
Gonzales,2,U.S. Senate,,,Over Votes,0,0,0,0
Gonzales,2,U.S. Senate,,,Under Votes,18,0,12,6
Gonzales,2,U.S. House,27,REP,Michael Cloud,734,30,606,98
Gonzales,2,U.S. House,27,DEM,Tanya Lloyd,257,20,169,68
Gonzales,2,U.S. House,27,,Over Votes,0,0,0,0
Gonzales,2,U.S. House,27,,Under Votes,45,0,31,14
Gonzales,2,Railroad Commissioner,,REP,Christi Craddick,689,30,570,89
Gonzales,2,Railroad Commissioner,,DEM,Katherine Culbert,239,19,160,60
Gonzales,2,Railroad Commissioner,,LIB,Hawk Dunlap,24,1,19,4
Gonzales,2,Railroad Commissioner,,GRN,Eddie Espinoza,35,0,25,10
Gonzales,2,Railroad Commissioner,,,Write-ins,0,0,0,0
Gonzales,2,Railroad Commissioner,,,Over Votes,0,0,0,0
Gonzales,2,Railroad Commissioner,,,Under Votes,49,0,32,17
Gonzales,2,"Justice, Supreme Court",2,REP,Jimmy Blacklock,735,30,611,94
Gonzales,2,"Justice, Supreme Court",2,DEM,DaSean Jones,252,18,164,70
Gonzales,2,"Justice, Supreme Court",2,,Over Votes,0,0,0,0
Gonzales,2,"Justice, Supreme Court",2,,Under Votes,49,2,31,16
