county,precinct,office,district,party,candidate,votes,absentee,early,election,provisional
Gregg,01,Ballots Cast,,,,1208,,,,
Gregg,02,Ballots Cast,,,,2595,,,,
Gregg,03,Ballots Cast,,,,1434,,,,
Gregg,04,Ballots Cast,,,,2628,,,,
Gregg,05,Ballots Cast,,,,2877,,,,
Gregg,06,Ballots Cast,,,,1919,,,,
Gregg,07,Ballots Cast,,,,2253,,,,
Gregg,08,Ballots Cast,,,,3092,,,,
Gregg,09,Ballots Cast,,,,2903,,,,
Gregg,10,Ballots Cast,,,,2577,,,,
Gregg,11,Ballots Cast,,,,2901,,,,
Gregg,12,Ballots Cast,,,,3400,,,,
Gregg,13,Ballots Cast,,,,1977,,,,
Gregg,14,Ballots Cast,,,,3325,,,,
Gregg,15,Ballots Cast,,,,882,,,,
Gregg,16,Ballots Cast,,,,2835,,,,
Gregg,17,Ballots Cast,,,,515,,,,
Gregg,18,Ballots Cast,,,,2268,,,,
Gregg,19,Ballots Cast,,,,1647,,,,
Gregg,20,Ballots Cast,,,,1350,,,,
Gregg,21,Ballots Cast,,,,2388,,,,
Gregg,01,COUNTY COMMISSIONER PRECINCT 1,,REP,RONNIE MCKINNEY,935,37,746,149,3
Gregg,02,COUNTY COMMISSIONER PRECINCT 1,,REP,RONNIE MCKINNEY,1990,148,1557,280,5
Gregg,03,COUNTY COMMISSIONER PRECINCT 1,,REP,RONNIE MCKINNEY,1113,60,908,145,0
Gregg,04,COUNTY COMMISSIONER PRECINCT 1,,REP,RONNIE MCKINNEY,2196,104,1796,288,8
Gregg,05,COUNTY COMMISSIONER PRECINCT 1,,REP,RONNIE MCKINNEY,2396,64,2005,322,5
Gregg,06,COUNTY COMMISSIONER PRECINCT 1,,REP,RONNIE MCKINNEY,1691,48,1342,300,1
Gregg,07,COUNTY COMMISSIONER PRECINCT 1,,REP,RONNIE MCKINNEY,1943,48,1533,361,1
Gregg,12,COUNTY COMMISSIONER PRECINCT 3,,REP,FLOYD WINGO,3047,56,2604,384,3
Gregg,13,COUNTY COMMISSIONER PRECINCT 3,,REP,FLOYD WINGO,1607,53,1153,399,2
Gregg,14,COUNTY COMMISSIONER PRECINCT 3,,REP,FLOYD WINGO,2946,65,2211,660,10
Gregg,15,COUNTY COMMISSIONER PRECINCT 3,,REP,FLOYD WINGO,681,9,489,182,1
Gregg,16,COUNTY COMMISSIONER PRECINCT 3,,REP,FLOYD WINGO,2454,57,1976,418,3
Gregg,01,COUNTY CONSTABLE PRECINCT 1,,REP,MIKE GRISHAM,940,38,748,150,4
Gregg,02,COUNTY CONSTABLE PRECINCT 1,,REP,MIKE GRISHAM,2002,146,1565,286,5
Gregg,03,COUNTY CONSTABLE PRECINCT 1,,REP,MIKE GRISHAM,1110,62,904,144,0
Gregg,04,COUNTY CONSTABLE PRECINCT 1,,REP,MIKE GRISHAM,2194,104,1794,289,7
Gregg,05,COUNTY CONSTABLE PRECINCT 1,,REP,MIKE GRISHAM,2391,60,2000,326,5
Gregg,06,COUNTY CONSTABLE PRECINCT 1,,REP,MIKE GRISHAM,1692,47,1345,299,1
Gregg,07,COUNTY CONSTABLE PRECINCT 1,,REP,MIKE GRISHAM,1944,49,1531,363,1
Gregg,08,COUNTY CONSTABLE PRECINCT 2,,REP,ROGER ASKEW,2504,71,2051,380,2
Gregg,09,COUNTY CONSTABLE PRECINCT 2,,REP,ROGER ASKEW,2256,94,1835,324,3
Gregg,10,COUNTY CONSTABLE PRECINCT 2,,REP,ROGER ASKEW,1872,57,1389,425,1
Gregg,11,COUNTY CONSTABLE PRECINCT 2,,REP,ROGER ASKEW,2341,86,1854,399,2
Gregg,12,COUNTY CONSTABLE PRECINCT 3,,REP,JOHN SLAGLE,3019,57,2576,383,3
Gregg,13,COUNTY CONSTABLE PRECINCT 3,,REP,JOHN SLAGLE,1601,51,1155,393,2
Gregg,14,COUNTY CONSTABLE PRECINCT 3,,REP,JOHN SLAGLE,2963,67,2222,664,10
Gregg,15,COUNTY CONSTABLE PRECINCT 3,,REP,JOHN SLAGLE,686,9,490,186,1
Gregg,16,COUNTY CONSTABLE PRECINCT 3,,REP,JOHN SLAGLE,2467,60,1981,423,3
Gregg,17,COUNTY CONSTABLE PRECINCT 4,,DEM,DANNY CRAIG II,321,23,211,87,0
Gregg,18,COUNTY CONSTABLE PRECINCT 4,,DEM,DANNY CRAIG II,1492,107,1154,228,3
Gregg,19,COUNTY CONSTABLE PRECINCT 4,,DEM,DANNY CRAIG II,1428,137,913,371,7
Gregg,20,COUNTY CONSTABLE PRECINCT 4,,DEM,DANNY CRAIG II,1050,64,691,291,4
Gregg,21,COUNTY CONSTABLE PRECINCT 4,,DEM,DANNY CRAIG II,1505,108,1056,337,4
Gregg,01,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,960,39,766,151,4
Gregg,02,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,2037,149,1598,285,5
Gregg,03,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,1134,65,925,144,0
Gregg,04,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,2215,104,1814,289,8
Gregg,05,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,2412,68,2017,322,5
Gregg,06,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,1705,48,1354,302,1
Gregg,07,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,1964,47,1549,367,1
Gregg,08,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,2532,77,2069,384,2
Gregg,09,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,2297,100,1868,326,3
Gregg,10,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,1894,59,1401,433,1
Gregg,11,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,2371,87,1885,397,2
Gregg,12,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,3064,57,2613,391,3
Gregg,13,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,1631,53,1174,402,2
Gregg,14,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,2978,67,2234,666,11
Gregg,15,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,696,11,499,185,1
Gregg,16,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,2496,60,2009,424,3
Gregg,17,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,342,14,247,81,0
Gregg,18,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,1511,61,1225,222,3
Gregg,19,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,665,50,387,224,4
Gregg,20,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,670,33,455,180,2
Gregg,21,COUNTY TAX ASSESSOR-COLLECTOR,,REP,MICHELLE TERRY,1567,103,1168,293,3
Gregg,01,DISTRICT JUDGE,,REP,ALFONSO CHARLES,956,39,766,147,4
Gregg,02,DISTRICT JUDGE,,REP,ALFONSO CHARLES,2029,146,1593,284,6
Gregg,03,DISTRICT JUDGE,,REP,ALFONSO CHARLES,1123,63,914,146,0
Gregg,04,DISTRICT JUDGE,,REP,ALFONSO CHARLES,2198,104,1797,288,9
Gregg,05,DISTRICT JUDGE,,REP,ALFONSO CHARLES,2392,67,1996,324,5
Gregg,06,DISTRICT JUDGE,,REP,ALFONSO CHARLES,1694,46,1351,296,1
Gregg,07,DISTRICT JUDGE,,REP,ALFONSO CHARLES,1935,48,1525,361,1
Gregg,08,DISTRICT JUDGE,,REP,ALFONSO CHARLES,2512,75,2050,385,2
Gregg,09,DISTRICT JUDGE,,REP,ALFONSO CHARLES,2275,99,1853,320,3
Gregg,10,DISTRICT JUDGE,,REP,ALFONSO CHARLES,1875,58,1388,428,1
Gregg,11,DISTRICT JUDGE,,REP,ALFONSO CHARLES,2332,86,1848,396,2
Gregg,12,DISTRICT JUDGE,,REP,ALFONSO CHARLES,3044,60,2596,385,3
Gregg,13,DISTRICT JUDGE,,REP,ALFONSO CHARLES,1620,51,1168,399,2
Gregg,14,DISTRICT JUDGE,,REP,ALFONSO CHARLES,2945,63,2209,663,10
Gregg,15,DISTRICT JUDGE,,REP,ALFONSO CHARLES,687,10,491,185,1
Gregg,16,DISTRICT JUDGE,,REP,ALFONSO CHARLES,2477,59,1995,420,3
Gregg,17,DISTRICT JUDGE,,REP,ALFONSO CHARLES,340,16,244,80,0
Gregg,18,DISTRICT JUDGE,,REP,ALFONSO CHARLES,1467,55,1194,215,3
Gregg,19,DISTRICT JUDGE,,REP,ALFONSO CHARLES,644,48,369,224,3
Gregg,20,DISTRICT JUDGE,,REP,ALFONSO CHARLES,678,31,453,191,3
Gregg,21,DISTRICT JUDGE,,REP,ALFONSO CHARLES,1539,101,1144,292,2
