county,precinct,office,district,party,candidate,votes,absentee,early,election,limited,provisional
Hood,101,Ballots Cast,,,,1567,,,,,
Hood,103,Ballots Cast,,,,2460,,,,,
Hood,105,Ballots Cast,,,,2098,,,,,
Hood,107,Ballots Cast,,,,770,,,,,
Hood,112,Ballots Cast,,,,1389,,,,,
Hood,202,Ballots Cast,,,,2859,,,,,
Hood,211,Ballots Cast,,,,2220,,,,,
Hood,216,Ballots Cast,,,,2772,,,,,
Hood,218,Ballots Cast,,,,2388,,,,,
Hood,310,Ballots Cast,,,,2164,,,,,
Hood,313,Ballots Cast,,,,2747,,,,,
Hood,314,Ballots Cast,,,,3085,,,,,
Hood,317,Ballots Cast,,,,2160,,,,,
Hood,404,Ballots Cast,,,,1464,,,,,
Hood,408,Ballots Cast,,,,2461,,,,,
Hood,409,Ballots Cast,,,,3799,,,,,
Hood,415,Ballots Cast,,,,342,,,,,
Hood,Federal Only,Ballots Cast,,,,26,,,,,
Hood,101,Chief Justice,,REP,Bonnie Sudderth,1287,77,1042,165,3,0
Hood,103,Chief Justice,,REP,Bonnie Sudderth,2093,60,1688,339,6,0
Hood,105,Chief Justice,,REP,Bonnie Sudderth,1868,28,1194,643,3,0
Hood,107,Chief Justice,,REP,Bonnie Sudderth,692,12,305,374,1,0
Hood,112,Chief Justice,,REP,Bonnie Sudderth,1180,24,912,240,4,0
Hood,202,Chief Justice,,REP,Bonnie Sudderth,2422,84,1912,420,5,1
Hood,211,Chief Justice,,REP,Bonnie Sudderth,1909,46,1480,373,10,0
Hood,216,Chief Justice,,REP,Bonnie Sudderth,2359,102,1921,335,1,0
Hood,218,Chief Justice,,REP,Bonnie Sudderth,2051,90,1659,300,2,0
Hood,310,Chief Justice,,REP,Bonnie Sudderth,1802,57,1576,166,3,0
Hood,313,Chief Justice,,REP,Bonnie Sudderth,2361,109,2008,243,1,0
Hood,314,Chief Justice,,REP,Bonnie Sudderth,2600,46,2130,414,9,1
Hood,317,Chief Justice,,REP,Bonnie Sudderth,1877,42,1600,227,8,0
Hood,404,Chief Justice,,REP,Bonnie Sudderth,1233,32,951,248,2,0
Hood,408,Chief Justice,,REP,Bonnie Sudderth,2083,54,1707,314,6,2
Hood,409,Chief Justice,,REP,Bonnie Sudderth,3298,75,2702,511,9,1
Hood,415,Chief Justice,,REP,Bonnie Sudderth,296,15,197,83,1,0
Hood,101,District Attorney,,REP,Ryan Sinclair,1260,78,1015,166,1,0
Hood,103,District Attorney,,REP,Ryan Sinclair,2057,59,1661,336,1,0
Hood,105,District Attorney,,REP,Ryan Sinclair,1850,28,1186,634,2,0
Hood,107,District Attorney,,REP,Ryan Sinclair,686,12,306,368,0,0
Hood,112,District Attorney,,REP,Ryan Sinclair,1156,23,892,240,1,0
Hood,202,District Attorney,,REP,Ryan Sinclair,2370,82,1883,403,1,1
Hood,211,District Attorney,,REP,Ryan Sinclair,1877,44,1463,368,2,0
Hood,216,District Attorney,,REP,Ryan Sinclair,2319,100,1892,327,0,0
Hood,218,District Attorney,,REP,Ryan Sinclair,2018,92,1632,293,1,0
Hood,310,District Attorney,,REP,Ryan Sinclair,1763,58,1545,160,0,0
Hood,313,District Attorney,,REP,Ryan Sinclair,2329,109,1979,241,0,0
Hood,314,District Attorney,,REP,Ryan Sinclair,2535,46,2075,411,2,1
Hood,317,District Attorney,,REP,Ryan Sinclair,1843,41,1579,221,2,0
Hood,404,District Attorney,,REP,Ryan Sinclair,1212,32,937,243,0,0
Hood,408,District Attorney,,REP,Ryan Sinclair,2042,54,1681,303,2,2
Hood,409,District Attorney,,REP,Ryan Sinclair,3238,72,2670,494,1,1
Hood,415,District Attorney,,REP,Ryan Sinclair,288,15,191,82,0,0
Hood,101,Judge,7,REP,Gina Parker,1229,75,994,151,9,0
Hood,103,Judge,7,REP,Gina Parker,1998,53,1622,308,15,0
Hood,105,Judge,7,REP,Gina Parker,1816,28,1151,619,18,0
Hood,107,Judge,7,REP,Gina Parker,674,9,300,362,3,0
Hood,112,Judge,7,REP,Gina Parker,1107,19,863,217,8,0
Hood,202,Judge,7,REP,Gina Parker,2250,70,1776,389,14,1
Hood,211,Judge,7,REP,Gina Parker,1796,40,1393,347,16,0
Hood,216,Judge,7,REP,Gina Parker,2255,89,1851,311,4,0
Hood,218,Judge,7,REP,Gina Parker,1962,86,1592,275,9,0
Hood,310,Judge,7,REP,Gina Parker,1714,56,1504,150,4,0
Hood,313,Judge,7,REP,Gina Parker,2268,107,1928,226,7,0
Hood,314,Judge,7,REP,Gina Parker,2448,46,2017,371,13,1
Hood,317,Judge,7,REP,Gina Parker,1807,40,1541,212,14,0
Hood,404,Judge,7,REP,Gina Parker,1138,31,878,220,9,0
Hood,408,Judge,7,REP,Gina Parker,2007,53,1653,287,12,2
Hood,409,Judge,7,REP,Gina Parker,3141,72,2583,468,17,1
Hood,415,Judge,7,REP,Gina Parker,265,9,182,72,2,0
Hood,101,Judge,7,DEM,Nancy Mulder,256,28,187,41,0,0
Hood,103,Judge,7,DEM,Nancy Mulder,369,42,254,72,1,0
Hood,105,Judge,7,DEM,Nancy Mulder,214,16,129,67,2,0
Hood,107,Judge,7,DEM,Nancy Mulder,66,3,29,34,0,0
Hood,112,Judge,7,DEM,Nancy Mulder,234,20,170,44,0,0
Hood,202,Judge,7,DEM,Nancy Mulder,472,46,352,72,2,0
Hood,211,Judge,7,DEM,Nancy Mulder,327,9,265,53,0,0
Hood,216,Judge,7,DEM,Nancy Mulder,410,62,296,52,0,0
Hood,218,Judge,7,DEM,Nancy Mulder,345,37,249,57,2,0
Hood,310,Judge,7,DEM,Nancy Mulder,345,22,282,41,0,0
Hood,313,Judge,7,DEM,Nancy Mulder,367,43,271,52,1,0
Hood,314,Judge,7,DEM,Nancy Mulder,478,20,358,98,1,1
Hood,317,Judge,7,DEM,Nancy Mulder,254,16,210,27,1,0
Hood,404,Judge,7,DEM,Nancy Mulder,267,19,183,65,0,0
Hood,408,Judge,7,DEM,Nancy Mulder,370,33,272,65,0,0
Hood,409,Judge,7,DEM,Nancy Mulder,504,30,381,92,1,0
Hood,415,Judge,7,DEM,Nancy Mulder,62,9,28,25,0,0
Hood,101,Judge,8,DEM,Chika Anyiam,239,25,177,37,0,0
Hood,103,Judge,8,DEM,Chika Anyiam,363,39,250,73,1,0
Hood,105,Judge,8,DEM,Chika Anyiam,204,14,123,65,2,0
Hood,107,Judge,8,DEM,Chika Anyiam,64,3,26,35,0,0
Hood,112,Judge,8,DEM,Chika Anyiam,225,19,169,37,0,0
Hood,202,Judge,8,DEM,Chika Anyiam,454,46,336,70,2,0
Hood,211,Judge,8,DEM,Chika Anyiam,314,9,252,53,0,0
Hood,216,Judge,8,DEM,Chika Anyiam,390,64,276,50,0,0
Hood,218,Judge,8,DEM,Chika Anyiam,319,37,231,49,2,0
Hood,310,Judge,8,DEM,Chika Anyiam,327,21,267,39,0,0
Hood,313,Judge,8,DEM,Chika Anyiam,336,40,251,44,1,0
Hood,314,Judge,8,DEM,Chika Anyiam,457,20,343,92,1,1
Hood,317,Judge,8,DEM,Chika Anyiam,243,13,202,28,0,0
Hood,404,Judge,8,DEM,Chika Anyiam,252,19,172,61,0,0
Hood,408,Judge,8,DEM,Chika Anyiam,351,34,257,60,0,0
Hood,409,Judge,8,DEM,Chika Anyiam,480,29,368,82,1,0
Hood,415,Judge,8,DEM,Chika Anyiam,56,9,25,22,0,0
Hood,101,Judge,8,REP,Lee Finley,1246,77,1004,156,9,0
Hood,103,Judge,8,REP,Lee Finley,2008,56,1632,305,15,0
Hood,105,Judge,8,REP,Lee Finley,1823,30,1157,618,18,0
Hood,107,Judge,8,REP,Lee Finley,677,9,303,362,3,0
Hood,112,Judge,8,REP,Lee Finley,1110,20,859,223,8,0
Hood,202,Judge,8,REP,Lee Finley,2261,70,1788,389,13,1
Hood,211,Judge,8,REP,Lee Finley,1803,40,1400,347,16,0
Hood,216,Judge,8,REP,Lee Finley,2263,86,1864,309,4,0
Hood,218,Judge,8,REP,Lee Finley,1982,85,1605,283,9,0
Hood,310,Judge,8,REP,Lee Finley,1729,58,1514,153,4,0
Hood,313,Judge,8,REP,Lee Finley,2292,109,1943,233,7,0
Hood,314,Judge,8,REP,Lee Finley,2456,45,2020,377,13,1
Hood,317,Judge,8,REP,Lee Finley,1811,42,1545,209,15,0
Hood,404,Judge,8,REP,Lee Finley,1154,31,887,227,9,0
Hood,408,Judge,8,REP,Lee Finley,2011,51,1658,289,11,2
Hood,409,Judge,8,REP,Lee Finley,3156,73,2591,474,17,1
Hood,415,Judge,8,REP,Lee Finley,270,10,184,74,2,0
Hood,101,Justice,2,DEM,Dasean Jones,263,29,194,40,0,0
Hood,103,Justice,2,DEM,Dasean Jones,377,39,260,77,1,0
Hood,105,Justice,2,DEM,Dasean Jones,217,16,128,71,2,0
Hood,107,Justice,2,DEM,Dasean Jones,67,3,30,34,0,0
Hood,112,Justice,2,DEM,Dasean Jones,241,20,178,43,0,0
Hood,202,Justice,2,DEM,Dasean Jones,481,43,355,81,2,0
Hood,211,Justice,2,DEM,Dasean Jones,331,10,264,57,0,0
Hood,216,Justice,2,DEM,Dasean Jones,412,62,293,57,0,0
Hood,218,Justice,2,DEM,Dasean Jones,340,36,248,54,2,0
Hood,310,Justice,2,DEM,Dasean Jones,352,22,285,45,0,0
Hood,313,Justice,2,DEM,Dasean Jones,379,43,284,51,1,0
Hood,314,Justice,2,DEM,Dasean Jones,479,22,350,105,1,1
Hood,317,Justice,2,DEM,Dasean Jones,252,16,208,27,1,0
Hood,404,Justice,2,DEM,Dasean Jones,272,20,190,62,0,0
Hood,408,Justice,2,DEM,Dasean Jones,373,34,276,63,0,0
Hood,409,Justice,2,DEM,Dasean Jones,499,28,382,88,1,0
Hood,415,Justice,2,DEM,Dasean Jones,60,9,26,25,0,0
Hood,101,Justice,2,REP,Jimmy Blacklock,1229,75,993,152,9,0
Hood,103,Justice,2,REP,Jimmy Blacklock,2001,56,1628,302,15,0
Hood,105,Justice,2,REP,Jimmy Blacklock,1831,28,1163,622,18,0
Hood,107,Justice,2,REP,Jimmy Blacklock,679,9,301,366,3,0
Hood,112,Justice,2,REP,Jimmy Blacklock,1103,19,856,219,9,0
Hood,202,Justice,2,REP,Jimmy Blacklock,2261,72,1793,381,14,1
Hood,211,Justice,2,REP,Jimmy Blacklock,1802,40,1401,345,16,0
Hood,216,Justice,2,REP,Jimmy Blacklock,2265,89,1862,310,4,0
Hood,218,Justice,2,REP,Jimmy Blacklock,1981,88,1601,283,9,0
Hood,310,Justice,2,REP,Jimmy Blacklock,1719,57,1507,151,4,0
Hood,313,Justice,2,REP,Jimmy Blacklock,2267,107,1928,225,7,0
Hood,314,Justice,2,REP,Jimmy Blacklock,2459,44,2032,368,14,1
Hood,317,Justice,2,REP,Jimmy Blacklock,1818,41,1551,212,14,0
Hood,404,Justice,2,REP,Jimmy Blacklock,1143,31,877,226,9,0
Hood,408,Justice,2,REP,Jimmy Blacklock,2012,52,1655,291,12,2
Hood,409,Justice,2,REP,Jimmy Blacklock,3169,77,2598,476,17,1
Hood,415,Justice,2,REP,Jimmy Blacklock,268,10,185,71,2,0
Hood,101,Justice,4,DEM,Christine Vinh Weems,266,30,195,41,0,0
Hood,103,Justice,4,DEM,Christine Vinh Weems,379,38,264,76,1,0
Hood,105,Justice,4,DEM,Christine Vinh Weems,217,15,127,73,2,0
Hood,107,Justice,4,DEM,Christine Vinh Weems,73,2,31,40,0,0
Hood,112,Justice,4,DEM,Christine Vinh Weems,241,20,177,44,0,0
Hood,202,Justice,4,DEM,Christine Vinh Weems,489,45,358,84,2,0
Hood,211,Justice,4,DEM,Christine Vinh Weems,344,10,276,58,0,0
Hood,216,Justice,4,DEM,Christine Vinh Weems,425,66,299,60,0,0
Hood,218,Justice,4,DEM,Christine Vinh Weems,357,39,256,60,2,0
Hood,310,Justice,4,DEM,Christine Vinh Weems,361,23,297,41,0,0
Hood,313,Justice,4,DEM,Christine Vinh Weems,385,44,287,53,1,0
Hood,314,Justice,4,DEM,Christine Vinh Weems,491,21,363,105,1,1
Hood,317,Justice,4,DEM,Christine Vinh Weems,267,17,221,28,1,0
Hood,404,Justice,4,DEM,Christine Vinh Weems,277,20,194,63,0,0
Hood,408,Justice,4,DEM,Christine Vinh Weems,385,36,281,68,0,0
Hood,409,Justice,4,DEM,Christine Vinh Weems,517,28,397,91,1,0
Hood,415,Justice,4,DEM,Christine Vinh Weems,66,9,30,27,0,0
Hood,101,Justice,4,REP,John Devine,1224,72,989,154,9,0
Hood,103,Justice,4,REP,John Devine,1990,56,1619,301,14,0
Hood,105,Justice,4,REP,John Devine,1821,28,1159,616,18,0
