county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Jefferson,1,Ballots Cast,,,,783,,,
Jefferson,2,Ballots Cast,,,,526,,,
Jefferson,3,Ballots Cast,,,,826,,,
Jefferson,4,Ballots Cast,,,,1028,,,
Jefferson,5,Ballots Cast,,,,969,,,
Jefferson,6,Ballots Cast,,,,643,,,
Jefferson,7,Ballots Cast,,,,776,,,
Jefferson,8,Ballots Cast,,,,268,,,
Jefferson,9,Ballots Cast,,,,2790,,,
Jefferson,10,Ballots Cast,,,,261,,,
Jefferson,11,Ballots Cast,,,,173,,,
Jefferson,12,Ballots Cast,,,,200,,,
Jefferson,13,Ballots Cast,,,,147,,,
Jefferson,14,Ballots Cast,,,,582,,,
Jefferson,15,Ballots Cast,,,,562,,,
Jefferson,16,Ballots Cast,,,,167,,,
Jefferson,17,Ballots Cast,,,,1626,,,
Jefferson,18,Ballots Cast,,,,760,,,
Jefferson,19,Ballots Cast,,,,604,,,
Jefferson,20,Ballots Cast,,,,477,,,
Jefferson,21,Ballots Cast,,,,167,,,
Jefferson,22,Ballots Cast,,,,1611,,,
Jefferson,23,Ballots Cast,,,,1364,,,
Jefferson,24,Ballots Cast,,,,353,,,
Jefferson,25,Ballots Cast,,,,1911,,,
Jefferson,26,Ballots Cast,,,,1843,,,
Jefferson,27,Ballots Cast,,,,777,,,
Jefferson,28,Ballots Cast,,,,555,,,
Jefferson,29,Ballots Cast,,,,1434,,,
Jefferson,30,Ballots Cast,,,,862,,,
Jefferson,31,Ballots Cast,,,,1056,,,
Jefferson,32,Ballots Cast,,,,140,,,
Jefferson,33,Ballots Cast,,,,1340,,,
Jefferson,34,Ballots Cast,,,,955,,,
Jefferson,35,Ballots Cast,,,,721,,,
Jefferson,36,Ballots Cast,,,,1030,,,
Jefferson,37,Ballots Cast,,,,1625,,,
Jefferson,38,Ballots Cast,,,,1535,,,
Jefferson,39,Ballots Cast,,,,874,,,
Jefferson,40,Ballots Cast,,,,2093,,,
Jefferson,41,Ballots Cast,,,,134,,,
Jefferson,42,Ballots Cast,,,,1618,,,
Jefferson,43,Ballots Cast,,,,1573,,,
Jefferson,44,Ballots Cast,,,,390,,,
Jefferson,45,Ballots Cast,,,,536,,,
Jefferson,46,Ballots Cast,,,,523,,,
Jefferson,47,Ballots Cast,,,,661,,,
Jefferson,48,Ballots Cast,,,,396,,,
Jefferson,49,Ballots Cast,,,,203,,,
Jefferson,50,Ballots Cast,,,,1119,,,
Jefferson,51,Ballots Cast,,,,176,,,
Jefferson,52,Ballots Cast,,,,226,,,
Jefferson,53,Ballots Cast,,,,585,,,
Jefferson,54,Ballots Cast,,,,261,,,
Jefferson,55,Ballots Cast,,,,184,,,
Jefferson,56,Ballots Cast,,,,2296,,,
Jefferson,57,Ballots Cast,,,,315,,,
Jefferson,58,Ballots Cast,,,,377,,,
Jefferson,59,Ballots Cast,,,,450,,,
Jefferson,60,Ballots Cast,,,,2184,,,
Jefferson,61,Ballots Cast,,,,902,,,
Jefferson,62,Ballots Cast,,,,1759,,,
Jefferson,63,Ballots Cast,,,,571,,,
Jefferson,64,Ballots Cast,,,,450,,,
Jefferson,65,Ballots Cast,,,,1349,,,
Jefferson,66,Ballots Cast,,,,1071,,,
Jefferson,67,Ballots Cast,,,,1061,,,
Jefferson,68,Ballots Cast,,,,1412,,,
Jefferson,69,Ballots Cast,,,,2134,,,
Jefferson,70,Ballots Cast,,,,1284,,,
Jefferson,71,Ballots Cast,,,,204,,,
Jefferson,72,Ballots Cast,,,,2801,,,
Jefferson,73,Ballots Cast,,,,1619,,,
Jefferson,74,Ballots Cast,,,,1942,,,
Jefferson,75,Ballots Cast,,,,313,,,
Jefferson,76,Ballots Cast,,,,383,,,
Jefferson,77,Ballots Cast,,,,672,,,
Jefferson,78,Ballots Cast,,,,1039,,,
Jefferson,79,Ballots Cast,,,,1549,,,
Jefferson,80,Ballots Cast,,,,186,,,
Jefferson,81,Ballots Cast,,,,355,,,
Jefferson,82,Ballots Cast,,,,1229,,,
Jefferson,83,Ballots Cast,,,,860,,,
Jefferson,84,Ballots Cast,,,,459,,,
Jefferson,85,Ballots Cast,,,,804,,,
Jefferson,86,Ballots Cast,,,,757,,,
Jefferson,87,Ballots Cast,,,,593,,,
Jefferson,88,Ballots Cast,,,,771,,,
Jefferson,89,Ballots Cast,,,,222,,,
Jefferson,90,Ballots Cast,,,,31,,,
Jefferson,91,Ballots Cast,,,,627,,,
Jefferson,92,Ballots Cast,,,,884,,,
Jefferson,93,Ballots Cast,,,,292,,,
Jefferson,94,Ballots Cast,,,,1439,,,
Jefferson,95,Ballots Cast,,,,379,,,
Jefferson,96,Ballots Cast,,,,251,,,
Jefferson,97,Ballots Cast,,,,111,,,
Jefferson,98,Ballots Cast,,,,494,,,
Jefferson,99,Ballots Cast,,,,317,,,
Jefferson,100,Ballots Cast,,,,2157,,,
Jefferson,101,Ballots Cast,,,,19,,,
Jefferson,102,Ballots Cast,,,,2,,,
Jefferson,103,Ballots Cast,,,,225,,,
Jefferson,104,Ballots Cast,,,,59,,,
Jefferson,105,Ballots Cast,,,,274,,,
Jefferson,106,Ballots Cast,,,,61,,,
Jefferson,1,Beaumont Independent School District Proposition A,,,AGAINST,192,9,144,39
Jefferson,2,Beaumont Independent School District Proposition A,,,AGAINST,156,14,111,31
Jefferson,3,Beaumont Independent School District Proposition A,,,AGAINST,203,19,126,58
Jefferson,4,Beaumont Independent School District Proposition A,,,AGAINST,518,14,418,86
Jefferson,5,Beaumont Independent School District Proposition A,,,AGAINST,456,18,359,79
Jefferson,6,Beaumont Independent School District Proposition A,,,AGAINST,258,14,189,55
Jefferson,7,Beaumont Independent School District Proposition A,,,AGAINST,331,13,235,83
Jefferson,8,Beaumont Independent School District Proposition A,,,AGAINST,70,5,54,11
Jefferson,10,Beaumont Independent School District Proposition A,,,AGAINST,79,4,56,19
Jefferson,11,Beaumont Independent School District Proposition A,,,AGAINST,58,2,44,12
Jefferson,12,Beaumont Independent School District Proposition A,,,AGAINST,49,2,38,9
Jefferson,13,Beaumont Independent School District Proposition A,,,AGAINST,29,6,16,7
Jefferson,14,Beaumont Independent School District Proposition A,,,AGAINST,138,9,86,43
Jefferson,15,Beaumont Independent School District Proposition A,,,AGAINST,147,9,95,43
Jefferson,16,Beaumont Independent School District Proposition A,,,AGAINST,52,3,34,15
Jefferson,17,Beaumont Independent School District Proposition A,,,AGAINST,731,34,576,121
Jefferson,18,Beaumont Independent School District Proposition A,,,AGAINST,177,13,137,27
Jefferson,19,Beaumont Independent School District Proposition A,,,AGAINST,150,20,95,35
