county,precinct,office,district,party,candidate,votes,absentee,early,election_day,provisional
Lamar,1A3B,Ballots Cast,,,,2574,,,,
Lamar,1A5A,Ballots Cast,,,,414,,,,
Lamar,1C,Ballots Cast,,,,276,,,,
Lamar,1E,Ballots Cast,,,,585,,,,
Lamar,1F,Ballots Cast,,,,997,,,,
Lamar,1H,Ballots Cast,,,,486,,,,
Lamar,1I,Ballots Cast,,,,270,,,,
Lamar,2A1A,Ballots Cast,,,,511,,,,
Lamar,2C3A,Ballots Cast,,,,1618,,,,
Lamar,2D,Ballots Cast,,,,471,,,,
Lamar,2E,Ballots Cast,,,,482,,,,
Lamar,2F,Ballots Cast,,,,167,,,,
Lamar,2G,Ballots Cast,,,,497,,,,
Lamar,3C7G,Ballots Cast,,,,1318,,,,
Lamar,3D,Ballots Cast,,,,600,,,,
Lamar,3E,Ballots Cast,,,,970,,,,
Lamar,3F,Ballots Cast,,,,461,,,,
Lamar,3G,Ballots Cast,,,,465,,,,
Lamar,3H3C,Ballots Cast,,,,527,,,,
Lamar,3I,Ballots Cast,,,,991,,,,
Lamar,4A6E,Ballots Cast,,,,1013,,,,
Lamar,4B,Ballots Cast,,,,1285,,,,
Lamar,4D,Ballots Cast,,,,1205,,,,
Lamar,4E,Ballots Cast,,,,859,,,,
Lamar,4F,Ballots Cast,,,,1258,,,,
Lamar,4G,Ballots Cast,,,,1050,,,,
Lamar,1C,Constable Pct 1,,REP,Travis Rhodes,245,9,190,46,0
Lamar,1E,Constable Pct 1,,REP,Travis Rhodes,490,9,336,145,0
Lamar,1F,Constable Pct 1,,REP,Travis Rhodes,868,28,583,257,0
Lamar,1H,Constable Pct 1,,REP,Travis Rhodes,424,8,300,116,0
Lamar,1I,Constable Pct 1,,REP,Travis Rhodes,243,8,173,62,0
Lamar,2D,Constable Pct 2,,REP,Curtis Graham,389,10,225,154,0
Lamar,2E,Constable Pct 2,,REP,Curtis Graham,407,8,278,121,0
Lamar,2F,Constable Pct 2,,REP,Curtis Graham,143,1,66,76,0
Lamar,2G,Constable Pct 2,,REP,Curtis Graham,400,5,291,104,0
Lamar,3D,Constable Pct 3,,REP,Steven Hill,506,17,318,171,0
Lamar,3E,Constable Pct 3,,REP,Steven Hill,879,17,660,202,0
Lamar,3F,Constable Pct 3,,REP,Steven Hill,411,3,262,146,0
Lamar,3G,Constable Pct 3,,REP,Steven Hill,415,14,297,104,0
Lamar,3I,Constable Pct 3,,REP,Steven Hill,849,19,679,151,0
Lamar,4B,Constable Pct 4,,REP,Tyler Anderson,1075,23,751,301,0
Lamar,4D,Constable Pct 4,,REP,Tyler Anderson,1043,19,751,273,0
Lamar,4E,Constable Pct 4,,REP,Tyler Anderson,758,18,546,194,0
Lamar,1A3B,Constable Pct 5,,REP,Jimmy Hodges,2094,82,1654,358,0
Lamar,1A5A,Constable Pct 5,,REP,Jimmy Hodges,300,7,232,61,0
Lamar,2A1A,Constable Pct 5,,REP,Jimmy Hodges,276,14,209,53,0
Lamar,2C3A,Constable Pct 5,,REP,Jimmy Hodges,1041,32,778,231,0
Lamar,3C7G,Constable Pct 5,,REP,Jimmy Hodges,987,44,760,183,0
Lamar,3H3C,Constable Pct 5,,REP,Jimmy Hodges,401,19,319,63,0
Lamar,4A6E,Constable Pct 5,,REP,Jimmy Hodges,808,28,649,131,0
Lamar,4F,Constable Pct 5,,REP,Jimmy Hodges,1081,26,839,216,0
Lamar,4G,Constable Pct 5,,REP,Jimmy Hodges,897,25,723,149,0
Lamar,1A3B,County Attorney,,REP,Gary D. Young,2110,87,1666,357,0
Lamar,1A5A,County Attorney,,REP,Gary D. Young,299,9,232,58,0
Lamar,1C,County Attorney,,REP,Gary D. Young,244,9,190,45,0
