county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Leon,Pct #1 - Centerville,"Registered Voters",,,,1932,,,
Leon,Pct #1 - Centerville,"Ballots Cast",,,,1360,58,1139,163
Leon,Pct #1 - Centerville,"Ballots Cast Blank",,,,0,0,0,0
Leon,Pct #1 - Centerville,"President",,REP,"Donald J. Trump/JD Vance",1182,42,1002,138
Leon,Pct #1 - Centerville,"President",,DEM,"Kamala D. Harris/Tim Walz",162,16,124,22
Leon,Pct #1 - Centerville,"President",,LIB,"Chase Oliver/Mike ter Maat",9,0,7,2
Leon,Pct #1 - Centerville,"President",,GRN,"Jill Stein/Rudolph Ware",1,0,1,0
Leon,Pct #1 - Centerville,"President",,,"Write-ins",3,0,2,1
Leon,Pct #1 - Centerville,"U.S. Senate",,REP,"Ted Cruz",1148,42,978,128
Leon,Pct #1 - Centerville,"U.S. Senate",,DEM,"Colin Allred",168,14,127,27
Leon,Pct #1 - Centerville,"U.S. Senate",,LIB,"Ted Brown",28,1,23,4
Leon,Pct #1 - Centerville,"U.S. Senate",,,"Write-ins",0,0,0,0
Leon,Pct #1 - Centerville,"U.S. House",17,REP,"Pete Sessions",1155,39,983,133
Leon,Pct #1 - Centerville,"U.S. House",17,DEM,"Mark Lorenzen",152,16,116,20
Leon,Pct #1 - Centerville,"Railroad Commissioner",,REP,"Christi Craddick",1116,38,951,127
Leon,Pct #1 - Centerville,"Railroad Commissioner",,DEM,"Katherine Culbert",149,14,116,19
Leon,Pct #1 - Centerville,"Railroad Commissioner",,LIB,"Hawk Dunlap",32,2,27,3
Leon,Pct #1 - Centerville,"Railroad Commissioner",,GRN,"Eddie Espinoza",8,1,5,2
Leon,Pct #1 - Centerville,"Railroad Commissioner",,,"Write-ins",1,0,0,1
Leon,Pct #1 - Centerville,"Justice, Supreme Court",Pl 2,REP,"Jimmy Blacklock",1148,38,982,128
Leon,Pct #1 - Centerville,"Justice, Supreme Court",Pl 2,DEM,"DaSean Jones",146,16,109,21
Leon,Pct #1 - Centerville,"Justice, Supreme Court",Pl 4,REP,"John Devine",1130,36,966,128
Leon,Pct #1 - Centerville,"Justice, Supreme Court",Pl 4,DEM,"Christine Vinh Weems",159,18,121,20
Leon,Pct #1 - Centerville,"Justice, Supreme Court",Pl 6,REP,"Jane Bland",1113,37,957,119
Leon,Pct #1 - Centerville,"Justice, Supreme Court",Pl 6,DEM,"Bonnie Lee Goldstein",156,17,116,23
Leon,Pct #1 - Centerville,"Justice, Supreme Court",Pl 6,LIB,"J. David Roberson",21,0,18,3
Leon,Pct #1 - Centerville,"Presiding Judge, Ct of Crim App",,REP,"David J. Schenck",1121,37,959,125
Leon,Pct #1 - Centerville,"Presiding Judge, Ct of Crim App",,DEM,"Holly Taylor",161,17,125,19
Leon,Pct #1 - Centerville,"Judge, Ct of Crim App",Pl 7,REP,"Gina Parker",1132,40,972,120
Leon,Pct #1 - Centerville,"Judge, Ct of Crim App",Pl 7,DEM,"Nancy Mulder",154,14,117,23
Leon,Pct #1 - Centerville,"Judge, Ct of Crim App",Pl 8,REP,"Lee Finley",1129,38,968,123
Leon,Pct #1 - Centerville,"Judge, Ct of Crim App",Pl 8,DEM,"Chika Anyiam",152,16,116,20
Leon,Pct #1 - Centerville,"Member, State BoE",Dist 10,REP,"Tom Maynard",1128,41,959,128
Leon,Pct #1 - Centerville,"Member, State BoE",Dist 10,DEM,"Raquel Saenz Ortiz",161,15,128,18
Leon,Pct #1 - Centerville,"State Representative",13,REP,"Angelia Orr",1129,41,962,126
Leon,Pct #1 - Centerville,"State Representative",13,DEM,"Albert Hunter",148,14,113,21
Leon,Pct #1 - Centerville,"Chief Justice, 10th Ct of App Dist",,REP,"Matt Johnson",1178,42,1001,135
Leon,Pct #1 - Centerville,"Dist Attorney, 369th Judicial Dist",,REP,"James Caleb Henson",1161,41,987,133
Leon,Pct #1 - Centerville,"County Attorney",,REP,"Keith Cook",1195,43,1012,140
Leon,Pct #1 - Centerville,"Sheriff",,REP,"Kevin Ellis",1216,47,1023,146
Leon,Pct #1 - Centerville,"County Tax Assessor-Collector",,REP,"Victoria Willis",1182,43,1002,137
Leon,Pct #1 - Centerville,"County Commissioner",Pct 1,REP,"Joey Sullivan",1156,43,976,137
Leon,Pct #1 - Centerville,"Constable",Pct 2,REP,"John L. Franks",1209,45,1022,142
Leon,Pct #1 - Centerville,"PROPOSITION A Buffalo ISD",,,FOR,9,0,7,2
Leon,Pct #1 - Centerville,"PROPOSITION A Buffalo ISD",,,AGAINST,18,3,14,1
Leon,Pct #2 - Guy's Store,"Registered Voters",,,,388,,,
Leon,Pct #2 - Guy's Store,"Ballots Cast",,,,305,11,212,82
Leon,Pct #2 - Guy's Store,"Ballots Cast Blank",,,,0,0,0,0
Leon,Pct #2 - Guy's Store,"President",,REP,"Donald J. Trump/JD Vance",268,8,191,69
Leon,Pct #2 - Guy's Store,"President",,DEM,"Kamala D. Harris/Tim Walz",33,2,18,13
Leon,Pct #2 - Guy's Store,"President",,LIB,"Chase Oliver/Mike ter Maat",1,0,1,0
Leon,Pct #2 - Guy's Store,"President",,GRN,"Jill Stein/Rudolph Ware",0,0,0,0
Leon,Pct #2 - Guy's Store,"President",,,"Write-ins",1,0,1,0
Leon,Pct #2 - Guy's Store,"U.S. Senate",,REP,"Ted Cruz",259,8,184,67
Leon,Pct #2 - Guy's Store,"U.S. Senate",,DEM,"Colin Allred",38,2,22,14
Leon,Pct #2 - Guy's Store,"U.S. Senate",,LIB,"Ted Brown",3,0,3,0
Leon,Pct #2 - Guy's Store,"U.S. Senate",,,"Write-ins",0,0,0,0
Leon,Pct #2 - Guy's Store,"U.S. House",17,REP,"Pete Sessions",263,8,184,71
Leon,Pct #2 - Guy's Store,"U.S. House",17,DEM,"Mark Lorenzen",28,2,19,7
Leon,Pct #2 - Guy's Store,"Railroad Commissioner",,REP,"Christi Craddick",254,8,184,62
Leon,Pct #2 - Guy's Store,"Railroad Commissioner",,DEM,"Katherine Culbert",24,2,15,7
Leon,Pct #2 - Guy's Store,"Railroad Commissioner",,LIB,"Hawk Dunlap",6,0,4,2
Leon,Pct #2 - Guy's Store,"Railroad Commissioner",,GRN,"Eddie Espinoza",2,0,1,1
Leon,Pct #2 - Guy's Store,"Railroad Commissioner",,,"Write-ins",0,0,0,0
Leon,Pct #2 - Guy's Store,"Justice, Supreme Court",Pl 2,REP,"Jimmy Blacklock",256,8,185,63
Leon,Pct #2 - Guy's Store,"Justice, Supreme Court",Pl 2,DEM,"DaSean Jones",28,2,17,9
Leon,Pct #2 - Guy's Store,"Justice, Supreme Court",Pl 4,REP,"John Devine",253,7,184,62
Leon,Pct #2 - Guy's Store,"Justice, Supreme Court",Pl 4,DEM,"Christine Vinh Weems",31,3,18,10
Leon,Pct #2 - Guy's Store,"Justice, Supreme Court",Pl 6,REP,"Jane Bland",251,6,184,61
Leon,Pct #2 - Guy's Store,"Justice, Supreme Court",Pl 6,DEM,"Bonnie Lee Goldstein",27,3,16,8
Leon,Pct #2 - Guy's Store,"Justice, Supreme Court",Pl 6,LIB,"J. David Roberson",6,0,4,2
Leon,Pct #2 - Guy's Store,"Presiding Judge, Ct of Crim App",,REP,"David J. Schenck",252,6,183,63
Leon,Pct #2 - Guy's Store,"Presiding Judge, Ct of Crim App",,DEM,"Holly Taylor",31,3,21,7
Leon,Pct #2 - Guy's Store,"Judge, Ct of Crim App",Pl 7,REP,"Gina Parker",257,7,187,63
Leon,Pct #2 - Guy's Store,"Judge, Ct of Crim App",Pl 7,DEM,"Nancy Mulder",26,2,17,7
Leon,Pct #2 - Guy's Store,"Judge, Ct of Crim App",Pl 8,REP,"Lee Finley",259,7,188,64
Leon,Pct #2 - Guy's Store,"Judge, Ct of Crim App",Pl 8,DEM,"Chika Anyiam",23,2,15,6
Leon,Pct #2 - Guy's Store,"Member, State BoE",Dist 10,REP,"Tom Maynard",253,6,184,63
Leon,Pct #2 - Guy's Store,"Member, State BoE",Dist 10,DEM,"Raquel Saenz Ortiz",29,3,18,8
Leon,Pct #2 - Guy's Store,"State Representative",13,REP,"Angelia Orr",253,8,183,62
Leon,Pct #2 - Guy's Store,"State Representative",13,DEM,"Albert Hunter",32,2,20,10
Leon,Pct #2 - Guy's Store,"Chief Justice, 10th Ct of App Dist",,REP,"Matt Johnson",264,5,193,66
Leon,Pct #2 - Guy's Store,"Dist Attorney, 369th Judicial Dist",,REP,"James Caleb Henson",257,6,191,60
Leon,Pct #2 - Guy's Store,"County Attorney",,REP,"Keith Cook",260,5,193,62
