county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Martin,1,"Registered Voters",,,,1077,,,
Martin,1,"Ballots Cast",,,,563,,,
Martin,1,"President",,REP,"Donald J. Trump JD Vance",483,16,342,125
Martin,1,"President",,DEM,"Kamala D. Harris Tim Walz",76,3,40,33
Martin,1,"President",,LIB,"Chase Oliver Mike ter Maat",1,0,1,0
Martin,1,"President",,GRN,"Jill Stein Rudolph Ware",1,0,0,1
Martin,1,"President",,,"Over Votes",0,0,0,0
Martin,1,"President",,,"Under Votes",2,0,1,1
Martin,1,"U.S. Senate",,REP,"Ted Cruz",464,17,326,121
Martin,1,"U.S. Senate",,DEM,"Colin Allred",82,2,46,34
Martin,1,"U.S. Senate",,LIB,"Ted Brown",14,0,9,5
Martin,1,"U.S. Senate",,,"Over Votes",0,0,0,0
Martin,1,"U.S. Senate",,,"Under Votes",3,0,3,0
Martin,1,"U.S. House","19",REP,"Jodey C. Arrington",467,15,326,126
Martin,1,"U.S. House","19",LIB,"Bernard Johnson",34,1,17,16
Martin,1,"U.S. House","19",IND,"Nathan Lewis",40,1,21,18
Martin,1,"U.S. House","19",,"Over Votes",0,0,0,0
Martin,1,"U.S. House","19",,"Under Votes",22,2,20,0
Martin,1,"Railroad Commissioner",,REP,"Christi Craddick",434,13,306,115
Martin,1,"Railroad Commissioner",,DEM,"Katherine Culbert",65,2,34,29
Martin,1,"Railroad Commissioner",,LIB,"Hawk Dunlap",37,2,23,12
Martin,1,"Railroad Commissioner",,GRN,"Eddie Espinoza",12,1,8,3
Martin,1,"Railroad Commissioner",,,"Over Votes",0,0,0,0
Martin,1,"Railroad Commissioner",,,"Under Votes",15,1,13,1
Martin,1,"Justice, Supreme Court","Place 2",REP,"Jimmy Blacklock",470,16,327,127
Martin,1,"Justice, Supreme Court","Place 2",DEM,"DaSean Jones",72,2,39,31
Martin,1,"Justice, Supreme Court","Place 2",,"Over Votes",0,0,0,0
Martin,1,"Justice, Supreme Court","Place 2",,"Under Votes",21,1,18,2
Martin,1,"Justice, Supreme Court","Place 4",REP,"John Devine",465,16,327,122
Martin,1,"Justice, Supreme Court","Place 4",DEM,"Christine Vinh Weems",77,2,39,36
Martin,1,"Justice, Supreme Court","Place 4",,"Over Votes",0,0,0,0
Martin,1,"Justice, Supreme Court","Place 4",,"Under Votes",21,1,18,2
Martin,1,"Justice, Supreme Court","Place 6",REP,"Jane Bland",453,15,316,122
Martin,1,"Justice, Supreme Court","Place 6",DEM,"Bonnie Lee Goldstein",71,2,38,31
Martin,1,"Justice, Supreme Court","Place 6",LIB,"J. David Roberson",16,1,10,5
Martin,1,"Justice, Supreme Court","Place 6",,"Over Votes",0,0,0,0
Martin,1,"Justice, Supreme Court","Place 6",,"Under Votes",23,1,20,2
Martin,1,"Presiding Judge, Court of Criminal Appeals",,REP,"David J. Schenck",463,16,322,125
Martin,1,"Presiding Judge, Court of Criminal Appeals",,DEM,"Holly Taylor",78,2,43,33
Martin,1,"Presiding Judge, Court of Criminal Appeals",,,"Over Votes",0,0,0,0
Martin,1,"Presiding Judge, Court of Criminal Appeals",,,"Under Votes",22,1,19,2
Martin,1,"Judge, Court of Criminal Appeals","Place 7",REP,"Gina Parker",463,16,324,123
Martin,1,"Judge, Court of Criminal Appeals","Place 7",DEM,"Nancy Mulder",74,2,37,35
Martin,1,"Judge, Court of Criminal Appeals","Place 7",,"Over Votes",0,0,0,0
Martin,1,"Judge, Court of Criminal Appeals","Place 7",,"Under Votes",26,1,23,2
Martin,1,"Judge, Court of Criminal Appeals","Place 8",REP,"Lee Finley",463,17,321,125
Martin,1,"Judge, Court of Criminal Appeals","Place 8",DEM,"Chika Anyiam",72,1,39,32
Martin,1,"Judge, Court of Criminal Appeals","Place 8",,"Over Votes",0,0,0,0
Martin,1,"Judge, Court of Criminal Appeals","Place 8",,"Under Votes",28,1,24,3
Martin,1,"Member, State Board of Education","15",REP,"Aaron Kinsey",446,11,316,119
Martin,1,"Member, State Board of Education","15",DEM,"Morgan Kirkpatrick",71,1,38,32
Martin,1,"Member, State Board of Education","15",LIB,"Jack B. Westbrook",18,0,11,7
Martin,1,"Member, State Board of Education","15",,"Over Votes",0,0,0,0
Martin,1,"Member, State Board of Education","15",,"Under Votes",28,7,19,2
Martin,1,"State Representative","82",REP,"Tom Craddick",465,11,328,126
Martin,1,"State Representative","82",DEM,"Steven Schafersman",71,1,37,33
Martin,1,"State Representative","82",,"Over Votes",0,0,0,0
Martin,1,"State Representative","82",,"Under Votes",27,7,19,1
Martin,1,"Chief Justice, 11th Court of Appeals District",,REP,"John Bailey",503,10,351,142
Martin,1,"Chief Justice, 11th Court of Appeals District",,,"Over Votes",0,0,0,0
Martin,1,"Chief Justice, 11th Court of Appeals District",,,"Under Votes",60,9,33,18
Martin,1,"District Attorney, 118th Judicial District",,REP,"Joshua Andrew Hamby",502,9,350,143
Martin,1,"District Attorney, 118th Judicial District",,,"Over Votes",0,0,0,0
Martin,1,"District Attorney, 118th Judicial District",,,"Under Votes",61,10,34,17
Martin,1,"County Attorney",,REP,"James J. Napper",507,10,355,142
Martin,1,"County Attorney",,,"Over Votes",0,0,0,0
Martin,1,"County Attorney",,,"Under Votes",56,9,29,18
Martin,1,"Sheriff",,REP,"Randy Cozart",511,8,360,143
Martin,1,"Sheriff",,,"Over Votes",0,0,0,0
Martin,1,"Sheriff",,,"Under Votes",52,11,24,17
Martin,1,"County Tax Assessor-Collector",,REP,"Lori Pardue",511,13,354,144
Martin,1,"County Tax Assessor-Collector",,,"Over Votes",0,0,0,0
Martin,1,"County Tax Assessor-Collector",,,"Under Votes",52,6,30,16
Martin,1,"County Commissioner","1",REP,"Kenny Stewart",509,15,350,144
Martin,1,"County Commissioner","1",,"Over Votes",0,0,0,0
Martin,1,"County Commissioner","1",,"Under Votes",54,4,34,16
Martin,2,"Registered Voters",,,,759,,,
Martin,2,"Ballots Cast",,,,379,,,
Martin,2,"President",,REP,"Donald J. Trump JD Vance",305,9,210,86
Martin,2,"President",,DEM,"Kamala D. Harris Tim Walz",70,2,42,26
Martin,2,"President",,LIB,"Chase Oliver Mike ter Maat",1,0,1,0
Martin,2,"President",,GRN,"Jill Stein Rudolph Ware",2,0,2,0
Martin,2,"President",,,"Over Votes",0,0,0,0
Martin,2,"President",,,"Under Votes",1,0,0,1
Martin,2,"U.S. Senate",,REP,"Ted Cruz",286,9,202,75
Martin,2,"U.S. Senate",,DEM,"Colin Allred",71,1,45,25
Martin,2,"U.S. Senate",,LIB,"Ted Brown",13,0,4,9
Martin,2,"U.S. Senate",,,"Over Votes",0,0,0,0
Martin,2,"U.S. Senate",,,"Under Votes",9,1,4,4
Martin,2,"U.S. House","19",REP,"Jodey C. Arrington",288,9,200,79
Martin,2,"U.S. House","19",LIB,"Bernard Johnson",31,0,16,15
Martin,2,"U.S. House","19",IND,"Nathan Lewis",25,1,16,8
Martin,2,"U.S. House","19",,"Over Votes",0,0,0,0
Martin,2,"U.S. House","19",,"Under Votes",35,1,23,11
Martin,2,"Railroad Commissioner",,REP,"Christi Craddick",275,8,188,79
Martin,2,"Railroad Commissioner",,DEM,"Katherine Culbert",55,1,36,18
Martin,2,"Railroad Commissioner",,LIB,"Hawk Dunlap",15,1,9,5
Martin,2,"Railroad Commissioner",,GRN,"Eddie Espinoza",11,0,6,5
Martin,2,"Railroad Commissioner",,,"Over Votes",0,0,0,0
Martin,2,"Railroad Commissioner",,,"Under Votes",23,1,16,6
Martin,2,"Justice, Supreme Court","Place 2",REP,"Jimmy Blacklock",294,9,200,85
Martin,2,"Justice, Supreme Court","Place 2",DEM,"DaSean Jones",57,1,36,20
Martin,2,"Justice, Supreme Court","Place 2",,"Over Votes",0,0,0,0
Martin,2,"Justice, Supreme Court","Place 2",,"Under Votes",28,1,19,8
Martin,2,"Justice, Supreme Court","Place 4",REP,"John Devine",294,9,198,87
Martin,2,"Justice, Supreme Court","Place 4",DEM,"Christine Vinh Weems",56,1,37,18
Martin,2,"Justice, Supreme Court","Place 4",,"Over Votes",0,0,0,0
Martin,2,"Justice, Supreme Court","Place 4",,"Under Votes",29,1,20,8
Martin,2,"Justice, Supreme Court","Place 6",REP,"Jane Bland",281,9,193,79
Martin,2,"Justice, Supreme Court","Place 6",DEM,"Bonnie Lee Goldstein",55,1,35,19
Martin,2,"Justice, Supreme Court","Place 6",LIB,"J. David Roberson",15,0,8,7
Martin,2,"Justice, Supreme Court","Place 6",,"Over Votes",0,0,0,0
Martin,2,"Justice, Supreme Court","Place 6",,"Under Votes",28,1,19,8
Martin,2,"Presiding Judge, Court of Criminal Appeals",,REP,"David J. Schenck",289,9,194,86
