county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Matagorda,1 - A,Registered Voters,,,,2594,,,
Matagorda,1 - A,Ballots Cast,,,,1673,,,
Matagorda,1 - A,President,,REP,Donald J. Trump JD Vance,1350,29,1114,207
Matagorda,1 - A,President,,DEM,Kamala D. Harris Tim Walz,313,14,234,65
Matagorda,1 - A,President,,LIB,Chase Oliver Mike ter Maat,5,0,3,2
Matagorda,1 - A,President,,GRN,Jill Stein Rudolph Ware,3,0,2,1
Matagorda,1 - A,President,,,Under Votes,1,0,1,0
Matagorda,1 - A,President,,,Over Votes,0,0,0,0
Matagorda,1 - A,U.S. Senate,,REP,Ted Cruz,1291,30,1074,187
Matagorda,1 - A,U.S. Senate,,DEM,Colin Allred,341,12,251,78
Matagorda,1 - A,U.S. Senate,,LIB,Ted Brown,22,0,17,5
Matagorda,1 - A,U.S. Senate,,,Under Votes,19,1,13,5
Matagorda,1 - A,U.S. Senate,,,Over Votes,0,0,0,0
Matagorda,1 - A,U.S. House,22,REP,Troy E. Nehls,1323,25,1098,200
Matagorda,1 - A,U.S. House,22,DEM,Marquette Greene-Scott,301,10,227,64
Matagorda,1 - A,U.S. House,22,,Under Votes,49,8,30,11
Matagorda,1 - A,U.S. House,22,,Over Votes,0,0,0,0
Matagorda,1 - A,Railroad Commissioner,,REP,Christi Craddick,1279,30,1063,186
Matagorda,1 - A,Railroad Commissioner,,DEM,Katherine Culbert,271,12,198,61
Matagorda,1 - A,Railroad Commissioner,,LIB,Hawk Dunlap,28,0,26,2
Matagorda,1 - A,Railroad Commissioner,,GRN,Eddie Espinoza,34,0,20,14
Matagorda,1 - A,Railroad Commissioner,,,Under Votes,61,1,48,12
Matagorda,1 - A,Railroad Commissioner,,,Over Votes,0,0,0,0
Matagorda,1 - A,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,1325,30,1094,201
Matagorda,1 - A,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,286,12,215,59
Matagorda,1 - A,"Justice, Supreme Court, Place 2",2,,Under Votes,62,1,46,15
Matagorda,1 - A,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0
Matagorda,1 - A,"Justice, Supreme Court, Place 4",4,REP,John Devine,1301,29,1082,190
Matagorda,1 - A,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,302,12,221,69
Matagorda,1 - A,"Justice, Supreme Court, Place 4",4,,Under Votes,70,2,52,16
Matagorda,1 - A,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0
Matagorda,1 - A,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,1287,30,1069,188
Matagorda,1 - A,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,280,12,205,63
Matagorda,1 - A,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,39,0,29,10
Matagorda,1 - A,"Justice, Supreme Court, Place 6",6,,Under Votes,67,1,52,14
Matagorda,1 - A,"Justice, Supreme Court, Place 6",6,,Over Votes,0,0,0,0
Matagorda,1 - A,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,1308,30,1082,196
Matagorda,1 - A,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,293,12,216,65
Matagorda,1 - A,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,72,1,57,14
Matagorda,1 - A,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
Matagorda,1 - A,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,1312,30,1086,196
Matagorda,1 - A,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,286,12,208,66
Matagorda,1 - A,"Judge, Court of Criminal Appeals, Place 7",7,,Under Votes,75,1,61,13
Matagorda,1 - A,"Judge, Court of Criminal Appeals, Place 7",7,,Over Votes,0,0,0,0
