county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Moore,Precinct 101,"Registered Voters",,,,2524,,,
Moore,Precinct 101,"Ballots Cast",,,,1225,40,877,308
Moore,Precinct 101,"President",,REP,"Donald J. Trump",961,33,708,220
Moore,Precinct 101,"President",,DEM,"Kamala D. Harris",253,7,162,84
Moore,Precinct 101,"President",,LIB,"Chase Oliver",6,0,2,4
Moore,Precinct 101,"President",,GRN,"Jill Stein",1,0,1,0
Moore,Precinct 101,"President",,,"Write-ins",1,0,1,0
Moore,Precinct 101,"U.S. Senate",,REP,"Ted Cruz",879,31,674,174
Moore,Precinct 101,"U.S. Senate",,DEM,"Colin Allred",283,7,175,101
Moore,Precinct 101,"U.S. Senate",,LIB,"Ted Brown",34,1,12,21
Moore,Precinct 101,"U.S. Senate",,,"Write-ins",0,0,0,0
Moore,Precinct 101,"U.S. House",13,REP,"Ronny Jackson",985,30,719,236
Moore,Precinct 101,"Railroad Commissioner",,REP,"Christi Craddick",844,27,642,175
Moore,Precinct 101,"Railroad Commissioner",,DEM,"Katherine Culbert",230,6,149,75
Moore,Precinct 101,"Railroad Commissioner",,LIB,"Hawk Dunlap",37,2,20,15
Moore,Precinct 101,"Railroad Commissioner",,GRN,"Eddie Espinoza",40,1,20,19
Moore,Precinct 101,"Railroad Commissioner",,,"Write-ins",0,0,0,0
Moore,Precinct 101,"Justice, Supreme Court",2,REP,"Jimmy Blacklock",919,31,683,205
Moore,Precinct 101,"Justice, Supreme Court",2,DEM,"DaSean Jones",238,6,150,82
Moore,Precinct 101,"Justice, Supreme Court",4,REP,"John Devine",897,30,668,199
Moore,Precinct 101,"Justice, Supreme Court",4,DEM,"Christine Vinh Weems",249,6,158,85
Moore,Precinct 101,"Justice, Supreme Court",6,REP,"Jane Bland",889,28,668,193
Moore,Precinct 101,"Justice, Supreme Court",6,DEM,"Bonnie Lee Goldstein",230,6,148,76
Moore,Precinct 101,"Justice, Supreme Court",6,LIB,"J. David Roberson",36,2,15,19
Moore,Precinct 101,"Presiding Judge, Ct of Crim App",,REP,"David J. Schenck",903,31,673,199
Moore,Precinct 101,"Presiding Judge, Ct of Crim App",,DEM,"Holly Taylor",245,5,154,86
Moore,Precinct 101,"Judge, Ct of Crim App",7,REP,"Gina Parker",894,30,670,194
