county,precinct,office,district,party,candidate,votes
Orange,Pct. 1,Registered Voters,,,,384
Orange,Pct. 1,Ballots Cast,,,,196
Orange,Pct. 2,Registered Voters,,,,1214
Orange,Pct. 2,Ballots Cast,,,,580
Orange,Pct. 3,Registered Voters,,,,1319
Orange,Pct. 3,Ballots Cast,,,,600
Orange,Pct. 4,Registered Voters,,,,401
Orange,Pct. 4,Ballots Cast,,,,149
Orange,Pct. 5,Registered Voters,,,,1563
Orange,Pct. 5,Ballots Cast,,,,878
Orange,Pct. 6,Registered Voters,,,,1668
Orange,Pct. 6,Ballots Cast,,,,1197
Orange,Pct. 7,Registered Voters,,,,1723
Orange,Pct. 7,Ballots Cast,,,,1169
Orange,Pct. 8,Registered Voters,,,,2608
Orange,Pct. 8,Ballots Cast,,,,1814
Orange,Pct. 9,Registered Voters,,,,2255
Orange,Pct. 9,Ballots Cast,,,,1564
Orange,Pct. 10,Registered Voters,,,,931
Orange,Pct. 10,Ballots Cast,,,,589
Orange,Pct. 11,Registered Voters,,,,636
Orange,Pct. 11,Ballots Cast,,,,318
Orange,Pct. 12,Registered Voters,,,,1268
Orange,Pct. 12,Ballots Cast,,,,705
Orange,Pct. 13,Registered Voters,,,,1458
Orange,Pct. 13,Ballots Cast,,,,731
Orange,Pct. 14,Registered Voters,,,,1736
Orange,Pct. 14,Ballots Cast,,,,1050
Orange,Pct. 15,Registered Voters,,,,1770
Orange,Pct. 15,Ballots Cast,,,,1211
Orange,Pct. 16,Registered Voters,,,,2676
Orange,Pct. 16,Ballots Cast,,,,1854
Orange,Pct. 17,Registered Voters,,,,1986
Orange,Pct. 17,Ballots Cast,,,,1325
Orange,Pct. 18,Registered Voters,,,,2148
Orange,Pct. 18,Ballots Cast,,,,1356
Orange,Pct. 19,Registered Voters,,,,1790
Orange,Pct. 19,Ballots Cast,,,,1044
Orange,Pct. 20,Registered Voters,,,,1585
Orange,Pct. 20,Ballots Cast,,,,947
Orange,Pct. 21,Registered Voters,,,,304
Orange,Pct. 21,Ballots Cast,,,,160
Orange,Pct. 22,Registered Voters,,,,1092
Orange,Pct. 22,Ballots Cast,,,,706
Orange,Pct. 23,Registered Voters,,,,3010
