county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Parmer,Pct. 101,"Registered Voters",,,,1301,,,
Parmer,Pct. 101,"Ballots Cast",,,,727,20,293,414
Parmer,Pct. 101,"Ballots Cast Blank",,,,3,0,0,3
Parmer,Pct. 101,"President",,REP,"Donald J. Trump",584,17,241,326
Parmer,Pct. 101,"President",,DEM,"Kamala D. Harris",132,3,48,81
Parmer,Pct. 101,"President",,LIB,"Chase Oliver",4,0,2,2
Parmer,Pct. 101,"President",,GRN,"Jill Stein",2,0,1,1
Parmer,Pct. 101,"President",,,"Write-ins",2,0,1,1
Parmer,Pct. 101,"President",,,"Over Votes",0,0,0,0
Parmer,Pct. 101,"President",,,"Under Votes",3,0,0,3
Parmer,Pct. 101,"U.S. Senate",,REP,"Ted Cruz",571,17,243,311
Parmer,Pct. 101,"U.S. Senate",,DEM,"Colin Allred",132,2,45,85
Parmer,Pct. 101,"U.S. Senate",,LIB,"Ted Brown",15,1,4,10
Parmer,Pct. 101,"U.S. Senate",,,"Write-ins",0,0,0,0
Parmer,Pct. 101,"U.S. Senate",,,"Over Votes",0,0,0,0
Parmer,Pct. 101,"U.S. Senate",,,"Under Votes",9,0,1,8
Parmer,Pct. 101,"U.S. House",19,REP,"Jodey C. Arrington",599,18,243,338
Parmer,Pct. 101,"U.S. House",19,LIB,"Bernard Johnson",54,0,23,31
Parmer,Pct. 101,"U.S. House",19,IND,"Nathan Lewis",38,1,18,19
Parmer,Pct. 101,"U.S. House",19,,"Over Votes",0,0,0,0
Parmer,Pct. 101,"U.S. House",19,,"Under Votes",36,1,9,26
Parmer,Pct. 101,"Railroad Commissioner",,REP,"Christi Craddick",557,17,232,308
Parmer,Pct. 101,"Railroad Commissioner",,DEM,"Katherine Culbert",111,2,43,66
Parmer,Pct. 101,"Railroad Commissioner",,LIB,"Hawk Dunlap",15,0,5,10
Parmer,Pct. 101,"Railroad Commissioner",,GRN,"Eddie Espinoza",15,0,4,11
Parmer,Pct. 101,"Railroad Commissioner",,,"Write-ins",0,0,0,0
Parmer,Pct. 101,"Railroad Commissioner",,,"Over Votes",0,0,0,0
Parmer,Pct. 101,"Railroad Commissioner",,,"Under Votes",29,1,9,19
Parmer,Pct. 101,"Justice, Supreme Court",2,REP,"Jimmy Blacklock",575,17,238,320
Parmer,Pct. 101,"Justice, Supreme Court",2,DEM,"DaSean Jones",124,2,45,77
Parmer,Pct. 101,"Justice, Supreme Court",2,,"Over Votes",0,0,0,0
Parmer,Pct. 101,"Justice, Supreme Court",2,,"Under Votes",28,1,10,17
Parmer,Pct. 101,"Justice, Supreme Court",4,REP,"John Devine",566,16,240,310
Parmer,Pct. 101,"Justice, Supreme Court",4,DEM,"Christine Vinh Weems",132,3,43,86
Parmer,Pct. 101,"Justice, Supreme Court",4,,"Over Votes",0,0,0,0
Parmer,Pct. 101,"Justice, Supreme Court",4,,"Under Votes",29,1,10,18
Parmer,Pct. 101,"Justice, Supreme Court",6,REP,"Jane Bland",553,16,233,304
Parmer,Pct. 101,"Justice, Supreme Court",6,DEM,"Bonnie Lee Goldstein",126,1,45,80
Parmer,Pct. 101,"Justice, Supreme Court",6,LIB,"J. David Roberson",16,1,4,11
Parmer,Pct. 101,"Justice, Supreme Court",6,,"Over Votes",0,0,0,0
Parmer,Pct. 101,"Justice, Supreme Court",6,,"Under Votes",32,2,11,19
Parmer,Pct. 101,"Presiding Judge, Ct of Crim App",,REP,"David J. Schenck",559,17,238,304
Parmer,Pct. 101,"Presiding Judge, Ct of Crim App",,DEM,"Holly Taylor",129,2,42,85
Parmer,Pct. 101,"Presiding Judge, Ct of Crim App",,,"Over Votes",0,0,0,0
Parmer,Pct. 101,"Presiding Judge, Ct of Crim App",,,"Under Votes",39,1,13,25
