county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Throckmorton,1,Ballots Cast,,,,211,,,
Throckmorton,1,President,,REP,Donald J. Trump JD Vance,202,6,148,48
Throckmorton,1,President,,DEM,Kamala D. Harris Tim Walz,6,0,5,1
Throckmorton,1,President,,LIB,Chase Oliver Mike ter Maat,0,0,0,0
Throckmorton,1,President,,GRN,Jill Stein Rudolph Ware,0,0,0,0
Throckmorton,1,President,,,Under Votes,3,0,3,0
Throckmorton,1,President,,,Over Votes,0,0,0,0
Throckmorton,1,U.S. Senate,,REP,Ted Cruz,203,6,151,46
Throckmorton,1,U.S. Senate,,DEM,Colin Allred,5,0,4,1
Throckmorton,1,U.S. Senate,,LIB,Ted Brown,0,0,0,0
Throckmorton,1,U.S. Senate,,,Under Votes,3,0,1,2
Throckmorton,1,U.S. Senate,,,Over Votes,0,0,0,0
Throckmorton,1,U.S. House,19,REP,Jodey C. Arrington,198,6,151,41
Throckmorton,1,U.S. House,19,LIB,Bernard Johnson,1,0,1,0
Throckmorton,1,U.S. House,19,IND,Nathan Lewis,4,0,2,2
Throckmorton,1,U.S. House,19,,Under Votes,8,0,2,6
Throckmorton,1,U.S. House,19,,Over Votes,0,0,0,0
Throckmorton,1,Railroad Commissioner,,REP,Christi Craddick,191,5,144,42
Throckmorton,1,Railroad Commissioner,,DEM,Katherine Culbert,5,0,4,1
Throckmorton,1,Railroad Commissioner,,LIB,Hawk Dunlap,4,0,3,1
Throckmorton,1,Railroad Commissioner,,GRN,Eddie Espinoza,1,0,1,0
Throckmorton,1,Railroad Commissioner,,,Under Votes,10,1,4,5
Throckmorton,1,Railroad Commissioner,,,Over Votes,0,0,0,0
Throckmorton,1,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,198,4,150,44
Throckmorton,1,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,4,0,3,1
Throckmorton,1,"Justice, Supreme Court, Place 2",2,,Under Votes,9,2,3,4
Throckmorton,1,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0
Throckmorton,1,"Justice, Supreme Court, Place 4",4,REP,John Devine,197,4,149,44
Throckmorton,1,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,4,0,4,0
Throckmorton,1,"Justice, Supreme Court, Place 4",4,,Under Votes,10,2,3,5
Throckmorton,1,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0
Throckmorton,1,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,197,4,150,43
Throckmorton,1,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,2,0,2,0
Throckmorton,1,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,1,0,1,0
Throckmorton,1,"Justice, Supreme Court, Place 6",6,,Under Votes,11,2,3,6
Throckmorton,1,"Justice, Supreme Court, Place 6",6,,Over Votes,0,0,0,0
Throckmorton,1,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,197,4,149,44
Throckmorton,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,3,0,3,0
Throckmorton,1,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,11,2,4,5
Throckmorton,1,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
Throckmorton,1,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,193,4,148,41
Throckmorton,1,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,5,0,4,1
Throckmorton,1,"Judge, Court of Criminal Appeals, Place 7",7,,Under Votes,13,2,4,7
Throckmorton,1,"Judge, Court of Criminal Appeals, Place 7",7,,Over Votes,0,0,0,0
Throckmorton,1,"Judge, Court of Criminal Appeals, Place 8",8,REP,Lee Finley,195,4,149,42
Throckmorton,1,"Judge, Court of Criminal Appeals, Place 8",8,DEM,Chika Anyiam,4,0,3,1
Throckmorton,1,"Judge, Court of Criminal Appeals, Place 8",8,,Under Votes,12,2,4,6
Throckmorton,1,"Judge, Court of Criminal Appeals, Place 8",8,,Over Votes,0,0,0,0
Throckmorton,1,"Member, State Board of Education, District 15",15,REP,Aaron Kinsey,192,5,147,40
Throckmorton,1,"Member, State Board of Education, District 15",15,DEM,Morgan Kirkpatrick,7,0,6,1
Throckmorton,1,"Member, State Board of Education, District 15",15,LIB,Jack B. Westbrook,1,0,0,1
Throckmorton,1,"Member, State Board of Education, District 15",15,,Under Votes,11,1,3,7
