county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Van Zandt,1-A,Registered Voters,,,,2384,,,
Van Zandt,1-A,Ballots Cast,,,,1692,45,1140,507
Van Zandt,1-A,President,,REP,Donald J. Trump,1485,,,
Van Zandt,1-A,President,,DEM,Kamala D. Harris,181,,,
Van Zandt,1-A,President,,LIB,Chase Oliver,12,,,
Van Zandt,1-A,President,,GRN,Jill Stein,2,,,
Van Zandt,1-A,President,,,Overvotes,6,,,
Van Zandt,1-A,President,,,Undervotes,2,,,
Van Zandt,1-B,Registered Voters,,,,3468,,,
Van Zandt,1-B,Ballots Cast,,,,2184,67,1055,1062
Van Zandt,1-B,President,,REP,Donald J. Trump,1884,,,
Van Zandt,1-B,President,,DEM,Kamala D. Harris,278,,,
Van Zandt,1-B,President,,LIB,Chase Oliver,3,,,
Van Zandt,1-B,President,,GRN,Jill Stein,4,,,
Van Zandt,1-B,President,,,Overvotes,2,,,
Van Zandt,1-B,President,,,Undervotes,6,,,
Van Zandt,1-C,Registered Voters,,,,1708,,,
Van Zandt,1-C,Ballots Cast,,,,1238,13,618,607
Van Zandt,1-C,President,,REP,Donald J. Trump,1107,,,
Van Zandt,1-C,President,,DEM,Kamala D. Harris,121,,,
Van Zandt,1-C,President,,LIB,Chase Oliver,6,,,
Van Zandt,1-C,President,,GRN,Jill Stein,2,,,
Van Zandt,1-C,President,,,Overvotes,1,,,
Van Zandt,1-C,President,,,Undervotes,0,,,
Van Zandt,1-D,Registered Voters,,,,1496,,,
Van Zandt,1-D,Ballots Cast,,,,999,20,407,572
Van Zandt,1-D,President,,REP,Donald J. Trump,871,,,
Van Zandt,1-D,President,,DEM,Kamala D. Harris,122,,,
Van Zandt,1-D,President,,LIB,Chase Oliver,1,,,
Van Zandt,1-D,President,,GRN,Jill Stein,1,,,
Van Zandt,1-D,President,,,Overvotes,2,,,
Van Zandt,1-D,President,,,Undervotes,1,,,
Van Zandt,1-E,Registered Voters,,,,1026,,,
Van Zandt,1-E,Ballots Cast,,,,603,11,286,306
Van Zandt,1-E,President,,REP,Donald J. Trump,482,,,
Van Zandt,1-E,President,,DEM,Kamala D. Harris,110,,,
Van Zandt,1-E,President,,LIB,Chase Oliver,5,,,
Van Zandt,1-E,President,,GRN,Jill Stein,0,,,
Van Zandt,1-E,President,,,Overvotes,2,,,
Van Zandt,1-E,President,,,Undervotes,2,,,
Van Zandt,2-A,Registered Voters,,,,4119,,,
Van Zandt,2-A,Ballots Cast,,,,2807,97,2090,620
Van Zandt,2-A,President,,REP,Donald J. Trump,2456,,,
Van Zandt,2-A,President,,DEM,Kamala D. Harris,313,,,
Van Zandt,2-A,President,,LIB,Chase Oliver,7,,,
Van Zandt,2-A,President,,GRN,Jill Stein,7,,,
Van Zandt,2-A,President,,,Overvotes,10,,,
Van Zandt,2-A,President,,,Undervotes,8,,,
Van Zandt,2-B,Registered Voters,,,,1388,,,
Van Zandt,2-B,Ballots Cast,,,,1062,24,595,443
Van Zandt,2-B,President,,REP,Donald J. Trump,949,,,
Van Zandt,2-B,President,,DEM,Kamala D. Harris,105,,,
Van Zandt,2-B,President,,LIB,Chase Oliver,3,,,
Van Zandt,2-B,President,,GRN,Jill Stein,0,,,
Van Zandt,2-B,President,,,Overvotes,2,,,
Van Zandt,2-B,President,,,Undervotes,1,,,
Van Zandt,2 - B ISD,Registered Voters,,,,400,,,
Van Zandt,2 - B ISD,Ballots Cast,,,,285,3,152,130
Van Zandt,2 - B ISD,President,,REP,Donald J. Trump,255,,,
Van Zandt,2 - B ISD,President,,DEM,Kamala D. Harris,23,,,
Van Zandt,2 - B ISD,President,,LIB,Chase Oliver,4,,,
Van Zandt,2 - B ISD,President,,GRN,Jill Stein,0,,,
Van Zandt,2 - B ISD,President,,,Overvotes,1,,,
Van Zandt,2 - B ISD,President,,,Undervotes,0,,,
Van Zandt,2-C,Registered Voters,,,,2725,,,
Van Zandt,2-C,Ballots Cast,,,,1928,27,1062,839
Van Zandt,2-C,President,,REP,Donald J. Trump,1742,,,
Van Zandt,2-C,President,,DEM,Kamala D. Harris,174,,,
Van Zandt,2-C,President,,LIB,Chase Oliver,3,,,
Van Zandt,2-C,President,,GRN,Jill Stein,2,,,
Van Zandt,2-C,President,,,Overvotes,3,,,
Van Zandt,2-C,President,,,Undervotes,2,,,
Van Zandt,2-D,Registered Voters,,,,1952,,,
Van Zandt,2-D,Ballots Cast,,,,1371,28,922,421
Van Zandt,2-D,President,,REP,Donald J. Trump,1237,,,
Van Zandt,2-D,President,,DEM,Kamala D. Harris,123,,,
Van Zandt,2-D,President,,LIB,Chase Oliver,2,,,
Van Zandt,2-D,President,,GRN,Jill Stein,2,,,
Van Zandt,2-D,President,,,Overvotes,0,,,
Van Zandt,2-D,President,,,Undervotes,5,,,
Van Zandt,3-A,Registered Voters,,,,933,,,
Van Zandt,3-A,Ballots Cast,,,,568,6,400,162
Van Zandt,3-A,President,,REP,Donald J. Trump,466,,,
Van Zandt,3-A,President,,DEM,Kamala D. Harris,93,,,
Van Zandt,3-A,President,,LIB,Chase Oliver,4,,,
Van Zandt,3-A,President,,GRN,Jill Stein,1,,,
Van Zandt,3-A,President,,,Overvotes,1,,,
Van Zandt,3-A,President,,,Undervotes,3,,,
Van Zandt,3-B,Registered Voters,,,,2062,,,
Van Zandt,3-B,Ballots Cast,,,,1226,24,659,543
Van Zandt,3-B,President,,REP,Donald J. Trump,974,,,
Van Zandt,3-B,President,,DEM,Kamala D. Harris,239,,,
Van Zandt,3-B,President,,LIB,Chase Oliver,4,,,
Van Zandt,3-B,President,,GRN,Jill Stein,1,,,
Van Zandt,3-B,President,,,Overvotes,5,,,
Van Zandt,3-B,President,,,Undervotes,1,,,
Van Zandt,3-C,Registered Voters,,,,4037,,,
Van Zandt,3-C,Ballots Cast,,,,2315,43,1381,891
Van Zandt,3-C,President,,REP,Donald J. Trump,1891,,,
Van Zandt,3-C,President,,DEM,Kamala D. Harris,399,,,
Van Zandt,3-C,President,,LIB,Chase Oliver,12,,,
Van Zandt,3-C,President,,GRN,Jill Stein,2,,,
Van Zandt,3-C,President,,,Overvotes,3,,,
Van Zandt,3-C,President,,,Undervotes,2,,,
Van Zandt,3-D,Registered Voters,,,,3242,,,
Van Zandt,3-D,Ballots Cast,,,,2357,31,1337,989
Van Zandt,3-D,President,,REP,Donald J. Trump,2113,,,
Van Zandt,3-D,President,,DEM,Kamala D. Harris,222,,,
Van Zandt,3-D,President,,LIB,Chase Oliver,9,,,
Van Zandt,3-D,President,,GRN,Jill Stein,3,,,
Van Zandt,3-D,President,,,Overvotes,0,,,
Van Zandt,3-D,President,,,Undervotes,6,,,
Van Zandt,4-A,Registered Voters,,,,1484,,,
Van Zandt,4-A,Ballots Cast,,,,1066,17,753,296
Van Zandt,4-A,President,,REP,Donald J. Trump,949,,,
Van Zandt,4-A,President,,DEM,Kamala D. Harris,108,,,
Van Zandt,4-A,President,,LIB,Chase Oliver,5,,,
Van Zandt,4-A,President,,GRN,Jill Stein,0,,,
Van Zandt,4-A,President,,,Overvotes,4,,,
Van Zandt,4-A,President,,,Undervotes,0,,,
Van Zandt,4 - A ISD,Registered Voters,,,,27,,,
Van Zandt,4 - A ISD,Ballots Cast,,,,13,0,10,3
Van Zandt,4 - A ISD,President,,REP,Donald J. Trump,12,,,
Van Zandt,4 - A ISD,President,,DEM,Kamala D. Harris,1,,,
Van Zandt,4 - A ISD,President,,LIB,Chase Oliver,0,,,
Van Zandt,4 - A ISD,President,,GRN,Jill Stein,0,,,
Van Zandt,4 - A ISD,President,,,Overvotes,0,,,
Van Zandt,4 - A ISD,President,,,Undervotes,0,,,
Van Zandt,4-B,Registered Voters,,,,2101,,,
Van Zandt,4-B,Ballots Cast,,,,1413,19,629,765
Van Zandt,4-B,President,,REP,Donald J. Trump,1228,,,
Van Zandt,4-B,President,,DEM,Kamala D. Harris,171,,,
Van Zandt,4-B,President,,LIB,Chase Oliver,1,,,
Van Zandt,4-B,President,,GRN,Jill Stein,1,,,
Van Zandt,4-B,President,,,Overvotes,3,,,
Van Zandt,4-B,President,,,Undervotes,3,,,
Van Zandt,4-C,Registered Voters,,,,1907,,,
Van Zandt,4-C,Ballots Cast,,,,1258,19,616,623
Van Zandt,4-C,President,,REP,Donald J. Trump,1078,,,
Van Zandt,4-C,President,,DEM,Kamala D. Harris,164,,,
Van Zandt,4-C,President,,LIB,Chase Oliver,8,,,
Van Zandt,4-C,President,,GRN,Jill Stein,2,,,
Van Zandt,4-C,President,,,Overvotes,1,,,
Van Zandt,4-C,President,,,Undervotes,2,,,
Van Zandt,4 - C ISD,Registered Voters,,,,75,,,
Van Zandt,4 - C ISD,Ballots Cast,,,,93,0,28,65
Van Zandt,4 - C ISD,President,,REP,Donald J. Trump,81,,,
Van Zandt,4 - C ISD,President,,DEM,Kamala D. Harris,10,,,
Van Zandt,4 - C ISD,President,,LIB,Chase Oliver,0,,,
Van Zandt,4 - C ISD,President,,GRN,Jill Stein,0,,,
Van Zandt,4 - C ISD,President,,,Overvotes,0,,,
Van Zandt,4 - C ISD,President,,,Undervotes,1,,,
Van Zandt,4-D,Registered Voters,,,,3836,,,
Van Zandt,4-D,Ballots Cast,,,,2631,85,1594,952
Van Zandt,4-D,President,,REP,Donald J. Trump,2206,,,
Van Zandt,4-D,President,,DEM,Kamala D. Harris,398,,,
