county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Victoria,1,Ballots Cast,,,,253,,,
Victoria,2,Ballots Cast,,,,552,,,
Victoria,3,Ballots Cast,,,,735,,,
Victoria,4,Ballots Cast,,,,631,,,
Victoria,5,Ballots Cast,,,,1233,,,
Victoria,6,Ballots Cast,,,,127,,,
Victoria,7,Ballots Cast,,,,1214,,,
Victoria,8,Ballots Cast,,,,1244,,,
Victoria,9,Ballots Cast,,,,473,,,
Victoria,10,Ballots Cast,,,,834,,,
Victoria,11,Ballots Cast,,,,305,,,
Victoria,12,Ballots Cast,,,,392,,,
Victoria,13,Ballots Cast,,,,718,,,
Victoria,14,Ballots Cast,,,,927,,,
Victoria,15,Ballots Cast,,,,96,,,
Victoria,16,Ballots Cast,,,,302,,,
Victoria,17,Ballots Cast,,,,295,,,
Victoria,18,Ballots Cast,,,,2760,,,
Victoria,19,Ballots Cast,,,,1809,,,
Victoria,20,Ballots Cast,,,,997,,,
Victoria,21,Ballots Cast,,,,3115,,,
Victoria,22,Ballots Cast,,,,1330,,,
Victoria,23,Ballots Cast,,,,1287,,,
Victoria,24,Ballots Cast,,,,1278,,,
Victoria,25,Ballots Cast,,,,2655,,,
Victoria,26,Ballots Cast,,,,591,,,
Victoria,27,Ballots Cast,,,,1456,,,
Victoria,28,Ballots Cast,,,,368,,,
Victoria,29,Ballots Cast,,,,1913,,,
Victoria,30,Ballots Cast,,,,324,,,
Victoria,31,Ballots Cast,,,,730,,,
Victoria,32,Ballots Cast,,,,628,,,
Victoria,33,Ballots Cast,,,,3258,,,
Victoria,34,Ballots Cast,,,,462,,,
Victoria,35,Ballots Cast,,,,174,,,
Victoria,1,Chief Justice,,DEM,Gina Benavides,124,19,71,34
Victoria,2,Chief Justice,,DEM,Gina Benavides,211,17,149,45
Victoria,3,Chief Justice,,DEM,Gina Benavides,229,20,153,56
Victoria,4,Chief Justice,,DEM,Gina Benavides,289,31,168,90
Victoria,5,Chief Justice,,DEM,Gina Benavides,535,52,355,128
Victoria,6,Chief Justice,,DEM,Gina Benavides,63,7,40,16
Victoria,7,Chief Justice,,DEM,Gina Benavides,616,78,363,175
Victoria,8,Chief Justice,,DEM,Gina Benavides,491,45,318,128
Victoria,9,Chief Justice,,DEM,Gina Benavides,159,19,109,31
Victoria,10,Chief Justice,,DEM,Gina Benavides,262,26,187,49
Victoria,11,Chief Justice,,DEM,Gina Benavides,58,6,37,15
Victoria,12,Chief Justice,,DEM,Gina Benavides,121,1,49,71
Victoria,13,Chief Justice,,DEM,Gina Benavides,250,20,107,123
Victoria,14,Chief Justice,,DEM,Gina Benavides,209,14,137,58
Victoria,15,Chief Justice,,DEM,Gina Benavides,15,5,7,3
Victoria,16,Chief Justice,,DEM,Gina Benavides,45,7,31,7
Victoria,17,Chief Justice,,DEM,Gina Benavides,100,8,61,31
Victoria,18,Chief Justice,,DEM,Gina Benavides,461,51,280,130
Victoria,19,Chief Justice,,DEM,Gina Benavides,637,42,450,145
Victoria,20,Chief Justice,,DEM,Gina Benavides,147,13,95,39
Victoria,21,Chief Justice,,DEM,Gina Benavides,667,76,447,144
Victoria,22,Chief Justice,,DEM,Gina Benavides,160,17,86,57
Victoria,23,Chief Justice,,DEM,Gina Benavides,221,22,142,57
Victoria,24,Chief Justice,,DEM,Gina Benavides,172,27,116,29
Victoria,25,Chief Justice,,DEM,Gina Benavides,789,81,530,178
Victoria,26,Chief Justice,,DEM,Gina Benavides,97,6,51,40
Victoria,27,Chief Justice,,DEM,Gina Benavides,122,11,74,37
Victoria,28,Chief Justice,,DEM,Gina Benavides,32,2,22,8
Victoria,29,Chief Justice,,DEM,Gina Benavides,474,58,323,93
Victoria,30,Chief Justice,,DEM,Gina Benavides,103,11,67,25
Victoria,31,Chief Justice,,DEM,Gina Benavides,266,36,170,60
Victoria,32,Chief Justice,,DEM,Gina Benavides,295,23,178,94
