county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Ward,1E,"Registered Voters",,,,"1318",,,
Ward,1E,"Ballots Cast",,,,"592",,,
Ward,1E,"President",,REP,"Donald J. Trump",410,5,269,136
Ward,1E,"President",,DEM,"Kamala D. Harris",162,7,99,56
Ward,1E,"President",,LIB,"Chase Oliver",2,0,2,0
Ward,1E,"President",,GRN,"Jill Stein",1,0,1,0
Ward,1E,"President",,,"Jessie Cuellar",0,0,0,0
Ward,1E,"President",,,"Under Votes",7,0,3,4
Ward,1E,"President",,,"Over Votes",10,1,7,2
Ward,1E,"U.S. Senate",,REP,"Ted Cruz",375,3,251,121
Ward,1E,"U.S. Senate",,DEM,"Colin Allred",188,10,111,67
Ward,1E,"U.S. Senate",,LIB,"Ted Brown",12,0,9,3
Ward,1E,"U.S. Senate",,,"Under Votes",17,0,10,7
Ward,1E,"U.S. Senate",,,"Over Votes",0,0,0,0
Ward,1E,"U.S. House",23,REP,"Tony Gonzales",407,4,268,135
Ward,1E,"U.S. House",23,DEM,"S. Limon",155,9,93,53
Ward,1E,"U.S. House",23,,"Under Votes",29,0,19,10
Ward,1E,"U.S. House",23,,"Over Votes",1,0,1,0
Ward,1E,"Railroad Commissioner",,REP,"Christi Craddick",358,5,239,114
Ward,1E,"Railroad Commissioner",,DEM,"Katherine Culbert",140,8,83,49
Ward,1E,"Railroad Commissioner",,LIB,"Hawk Dunlap",31,0,19,12
Ward,1E,"Railroad Commissioner",,GRN,"Eddie Espinoza",15,0,10,5
Ward,1E,"Railroad Commissioner",,,"Richard McKibbin",0,0,0,0
Ward,1E,"Railroad Commissioner",,,"Under Votes",42,0,24,18
Ward,1E,"Railroad Commissioner",,,"Over Votes",6,0,6,0
Ward,1E,"Justice, Supreme Court, Place 2",,REP,"Jimmy Blacklock",382,4,255,123
Ward,1E,"Justice, Supreme Court, Place 2",,DEM,"DaSean Jones",161,9,96,56
Ward,1E,"Justice, Supreme Court, Place 2",,,"Under Votes",49,0,30,19
Ward,1E,"Justice, Supreme Court, Place 2",,,"Over Votes",0,0,0,0
Ward,1E,"Justice, Supreme Court, Place 4",,REP,"John Devine",367,4,243,120
Ward,1E,"Justice, Supreme Court, Place 4",,DEM,"Christine Vinh Weems",163,9,98,56
Ward,1E,"Justice, Supreme Court, Place 4",,,"Under Votes",60,0,38,22
Ward,1E,"Justice, Supreme Court, Place 4",,,"Over Votes",2,0,2,0
Ward,1E,"Justice, Supreme Court, Place 6",,REP,"Jane Bland",374,3,252,119
Ward,1E,"Justice, Supreme Court, Place 6",,DEM,"Bonnie Lee Goldstein",156,10,92,54
Ward,1E,"Justice, Supreme Court, Place 6",,LIB,"J. David Roberson",15,0,9,6
Ward,1E,"Justice, Supreme Court, Place 6",,,"Under Votes",47,0,28,19
Ward,1E,"Justice, Supreme Court, Place 6",,,"Over Votes",0,0,0,0
Ward,1E,"Presiding Judge, Court of Criminal Appeals",,REP,"David J. Schenck",380,3,254,123
Ward,1E,"Presiding Judge, Court of Criminal Appeals",,DEM,"Holly Taylor",162,10,98,54
Ward,1E,"Presiding Judge, Court of Criminal Appeals",,,"Under Votes",48,0,28,20
Ward,1E,"Presiding Judge, Court of Criminal Appeals",,,"Over Votes",2,0,1,1
Ward,1E,"Judge, Court of Criminal Appeals, Place 7",,REP,"Gina Parker",377,3,250,124
Ward,1E,"Judge, Court of Criminal Appeals, Place 7",,DEM,"Nancy Mulder",162,10,99,53
Ward,1E,"Judge, Court of Criminal Appeals, Place 7",,,"Under Votes",52,0,31,21
Ward,1E,"Judge, Court of Criminal Appeals, Place 7",,,"Over Votes",1,0,1,0
Ward,1E,"Judge, Court of Criminal Appeals, Place 8",,REP,"Lee Finley",387,6,254,127
Ward,1E,"Judge, Court of Criminal Appeals, Place 8",,DEM,"Chika Anyiam",146,7,90,49
Ward,1E,"Judge, Court of Criminal Appeals, Place 8",,,"Under Votes",59,0,37,22
Ward,1E,"Judge, Court of Criminal Appeals, Place 8",,,"Over Votes",0,0,0,0
